Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,
"АТ АКБ ""Львів""",поточний рахунок,2600671275,"1500,09",Українська Галицька Партія,Центральний офіс,39481037,Україна,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005052517967,"307,04",Українська Галицька Партія,Івано-Франківська обласна організація,40026836,Івано-Франківська область,2016-12-31,5,2016,
"АТ АКБ ""Львів""",поточний рахунок,2600477437,"4497,38",Українська Галицька Партія,Львівська обласна організація,40014820,Львівська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055117228,"1436,5",Українська Галицька Партія,Тернопільська обласна організація,40011526,Тернопільська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26427055100342,0,Українська Галицька Партія,Тернопільська обласна організація,40011526,Тернопільська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26428055100084,9,Українська Галицька Партія,Тернопільська обласна організація,40011526,Тернопільська область,2016-12-31,5,2016,
"АТ АКБ ""Львів""",поточний рахунок,2600671275,"46275,47",Українська Галицька Партія,Центральний офіс,39481037,Україна,2017-12-31,5,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005052517967,"910,14",Українська Галицька Партія,Івано-Франківська обласна організація,40026836,Івано-Франківська область,2017-12-31,5,2017,
"АТ АКБ ""Львів""",поточний рахунок,2600477437,"22971,18",Українська Галицька Партія,Львівська обласна організація,40014820,Львівська область,2017-12-31,5,2017,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055117228,"113,22",Українська Галицька Партія,Тернопільська обласна організація,40011526,Тернопільська область,2017-12-31,5,2017,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26426055100150,0,Українська Галицька Партія,Тернопільська обласна організація,40011526,Тернопільська область,2017-12-31,5,2017,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26420055100383,0,Українська Галицька Партія,Тернопільська обласна організація,40011526,Тернопільська область,2017-12-31,5,2017,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26424055100505,0,Українська Галицька Партія,Тернопільська обласна організація,40011526,Тернопільська область,2017-12-31,5,2017,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26428055100802,0,Українська Галицька Партія,Тернопільська обласна організація,40011526,Тернопільська область,2017-12-31,5,2017,
"АТ АКБ ""Львів""",поточний рахунок,2600671275,"16325,47",Українська Галицька Партія,Центральний офіс,39481037,Україна,2018-03-31,1,2018,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005052517967,"3444,33",Українська Галицька Партія,Івано-Франківська обласна організація,40026836,Івано-Франківська область,2018-03-31,1,2018,
"АТ АКБ ""Львів""",поточний рахунок,2600477437,"10955,383",Українська Галицька Партія,Львівська обласна організація,40014820,Львівська область,2018-03-31,1,2018,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055117228,"1770,65",Українська Галицька Партія,Тернопільська обласна організація,40011526,Тернопільська область,2018-03-31,1,2018,
"АТ АКБ ""Львів""",поточний рахунок,2600671275,"5715,99",Українська Галицька Партія,Центральний офіс,39481037,Україна,2018-06-30,2,2018,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005052517967,"1470,41",Українська Галицька Партія,Івано-Франківська обласна організація,40026836,Івано-Франківська область,2018-06-30,2,2018,
"АТ АКБ ""Львів""",поточний рахунок,2600477437,4894,Українська Галицька Партія,Львівська обласна організація,40014820,Львівська область,2018-06-30,2,2018,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055117228,"7545,46",Українська Галицька Партія,Тернопільська обласна організація,40011526,Тернопільська область,2018-06-30,2,2018,
"АТ АКБ ""Львів""",поточний рахунок,2600671275,"20195,9",Українська Галицька Партія,Центральний офіс,39481037,Україна,2018-09-30,3,2018,
