Дата здійснення платежу з рахунку політичної партії,Найменування банку,Номер розрахункового документа,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Цільове призначення платежу,Код рядка,Сума (грн),Тип бенефіціара,Вид рахунку,Партія,Місцева організація,Код ЄДРПОУ осередку,Номер рахунку,Географічний об’єкт,Квартал,Рік
2016-03-29,"ПАТ КБ ""Приватбанк""",платіжне доручення #9,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата за інформаційні послуги в газеті Рівне вечірне згідно рахунку #92 від 16 березня 2016 р. Без ПДВ,3.2.3,2000,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-03-29,"ПАТ КБ ""Приватбанк""",платіжне доручення #10,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата за інформаційні послуги в газеті Рівне вечірне згідно рахунку #91 від 16 березня 2016 р. Без ПДВ,3.2.3,2000,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-04-01,"ПАТ КБ ""Приватбанк""",платіжне доручення #12,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рахунку # 104 від 24 березня 2016 року за рекламні послуги,3.2.3,300,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-04-01,"ПАТ КБ ""Приватбанк""",платіжне доручення #11,ФОП Кулик Т.Г.,,"33013, м. Рівне",оплата згідно рахунку #110 від 30 березня 2016 року за рекламні послуги,3.2.3,500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-04-19,"ПАТ КБ ""Приватбанк""",платіжне доручення #17,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата за ірекламні послуги в газеті Рівне вечірне згідно рахунку #128 від 6 квітня 2016 р. Без ПДВ,3.2.3,1200,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-04-19,"ПАТ КБ ""Приватбанк""",платіжне доручення #18,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата за рекламні послуги в газеті Рівне експрес згідно рахунку # 129 від 6 квітня 2016 р. Без ПДВ,3.2.3,500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-06-09,"ПАТ КБ ""Приватбанк""",платіжне доручення #22,ФОП Кулик Т.Г.,,"33013, Рівненська обл., місто Рівне",Оплата згідно рахунку # 174 від 05 травня 2016 р. без ПДВ,3.2.3,1200,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-06-09,"ПАТ КБ ""Приватбанк""",платіжне доручення #20,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата по рахунку # 179 від 19 травня 2016 р. без ПДВ,3.2.3,2000,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-06-09,"ПАТ КБ ""Приватбанк""",платіжне доручення #21,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рахунку # 163 від 28 квітня 2016 р. без ПДВ,3.2.3,1200,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-07-11,"ПАТ КБ ""Приватбанк""",платіжне доручення #31,ФОП Купріянчук М.С.,,"33013, м. Рівне","Оплата згідно рахунку # 145 від 16.06.16 за матер та оголош Вільне слово # 25,26,27,28 від 16.06.16 Без ПДВ",3.2.3,2000,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-07-11,"ПАТ КБ ""Приватбанк""",платіжне доручення #30,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рахунку #219 від 14.06.16 рекламні послуги Рівне вечірнє 09/06/16 Без ПДВ,3.2.3,1000,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-07-11,"ПАТ КБ ""Приватбанк""",платіжне доручення #27,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рахунку #222 за травень 16 рекламні послуги Рівне вечірнє Рівне експрес (колонтитули) Без ПДВ,3.2.3,1500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-07-11,"ПАТ КБ ""Приватбанк""",платіжне доручення #29,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата ідно рахунку # 220 від 14.06.16 рекламні послуги Рівне вечірнє 9/06 Без ПДВ,3.2.3,200,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-07-11,"ПАТ КБ ""Приватбанк""",платіжне доручення #28,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рахунку #221 від 14.06.16 за рекламні послуги Рівне вечірнє 16/06/16 Без ПДВ,3.2.3,500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-07-11,"ПАТ КБ ""Приватбанк""",платіжне доручення #26,ФОП Кулик Т.Г.,,"33013, м. Рівне","Оплата згідно рахунку # 223 від 21.06.16 за рекламні послуги Рівне вечірнє 16.23.30/06,7/07 Без ПДВ",3.2.3,200,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #55,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рах # 243 від 07.07.2016 за рекламні послуги в газеті Рівне Вечірне за липень 16 р. Без ПДВ,3.2.3,1200,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #47,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рах # 238 від 23.06.2016 за рекламні послуги в газеті Рівне Вечірне 30/06/16 Без ПДВ,3.2.3,500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #54,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рах # 244 від 07.07.2016 за рекламні послуги в газеті Рівне Вечірне 07/07 Без ПДВ,3.2.3,500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #57,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рах # 255 від 14.07.2016 за рекламні послуги в газеті Рівне Вечірне 14.07.16 Без ПДВ,3.2.3,500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #45,ФОП Купріянчук М.С.,,"33013, м. Рівне",Оплата згідно рах # 152 від 30.06.2016 за матеріал в газеті Вільне слово # 27 від 30.06.2016 Без ПДВ,3.2.3,400,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #59,ФОП Кулик Т.Г.,,"33013, м. Рівне","Оплата згідно рах # 268 від 27 липня 2016 за рекламні послуги в газеті Рівне Вечірне, Рівне експрес 28/07/16 Без ПДВ",3.2.3,1200,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #58,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рах # 261 від 20/07 2016 за рекламні послуги в газеті Рівне Вечірне 21/07 Без ПДВ,3.2.3,500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #46,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рах # 237 від 23.06.2016 за рекламні послуги в газеті Рівне Вечірне 23/06 Без ПДВ,3.2.3,500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #56,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рах # 245 від 07/07.2016 за рекламні послуги в газеті Рівне Вечірне 07/07 Без ПДВ,3.2.3,200,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #44,ФОП Купріянчук М.С.,,"33013, м. Рівне",Оплат згідно рахунку # 159 від 28.07.2016 р. за матеріал в газеті Вільне слово # 31 від 28.07.16 Без ПДВ,3.2.3,1000,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #61,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рах # 270 від 27 липня 2016 за рекламні послуги в газеті Рівне Вечірне 28/07/16 Без ПДВ,3.2.3,2000,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #63,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рах # 280 від 04 серпня2016 за рекламні послуги в газеті Рівне експрес 04/08/16 Без ПДВ,3.2.3,300,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #62,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рах # 279 від 04 серпня .2016 за рекламні послуги в газеті Рівне Вечірне 04/08/16 Без ПДВ,3.2.3,500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-08-12,"ПАТ КБ ""Приватбанк""",платіжне доручення #60,ФОП Кулик Т.Г.,,"33013, м. Рівне",Оплата згідно рах # 269 від 28 липня 2016 за рекламні послуги в газеті Рівне експрес 28/07/16 Без ПДВ,3.2.3,1500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-09-13,"ПАТ КБ ""Приватбанк""",платіжне доручення #66,ФОП Кулик Т.Г.,,"33013, м. Рівне",Рекламні послуги в га-ті Рівне вечірне рахунок # 288 від 11.08ю2016 Без ПДВ,3.2.3,500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-09-13,"ПАТ КБ ""Приватбанк""",платіжне доручення #79,ФОП Кулик Т.Г.,,"33013, м. Рівне",Рекламні послуги в газеті Рівне вечірне рахунок # 318 від 01.09.2016 Без ПДВ,3.2.3,1000,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-09-13,"ПАТ КБ ""Приватбанк""",платіжне доручення #76,ФОП Кулик Т.Г.,,"33013, м. Рівне",Рекламні послуги в газеті Рівне вечірне рахунок # 338 від 07.09.2016 Без ПДВ,3.2.3,600,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-09-13,"ПАТ КБ ""Приватбанк""",платіжне доручення #68,ФОП Кулик Т.Г.,,"33013, м. Рівне",Рекламні послуги в газеті Рівне вечірне рахунок # 307 від 25.08.2016 Без ПДВ,3.2.3,500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
2016-09-13,"ПАТ КБ ""Приватбанк""",платіжне доручення #69,ФОП Купріянчук М.С.,,"33013, Рівненська обл., місто Рівне",за матеріали в газеті Вільне слово # 35 від 24.08.16 рахунок - фактура # 168 від 24.08.2016 Без ПДВ,3.2.3,500,ФОП,поточний рахунок,"Громадсько-політичний рух Валентина Наливайченка ""Справедливість""",Рівненська обласна організація,40017968,26009054717583,Рівненська область,0,2016
