Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Сума (вартість) на кінець звітного періоду грн,Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
кредиторська заборгованість за надані послуги ,30.11.2020,160.0,"ПРИВАТНЕ АКЦІОНЕРЕ ТОВАРИСТВО ""ДАТАГРУП""",31720260,"м. Київ, ул. Смоленська, буд. 31-33",160.0,Юридична особа,ПРОПОЗИЦІЯ,РІВНЕНСЬКА ОБЛАСНА організація,43645119,Дніпропетровська область,1,2023
Поточна кредиторська заборгованість зі сплати судових зборів,08.10.2020,5255.0,ДЕРЖАВНА СУДОВА АДМІНІСТРАЦІЯ УКРАЇНИ,26255795,"м. Київ, ВУЛИЦЯ ЛИПСЬКА, буд. 18/5",5255.0,Юридична особа,ПРОПОЗИЦІЯ,КИЇВСЬКА ОБЛАСНА організація,43734685,Київська область,1,2023
Поточна кредиторська заборгованість зі сплати судових зборів,08.10.2020,2102.0,ДЕРЖАВНА СУДОВА АДМІНІСТРАЦІЯ УКРАЇНИ,26255795,"м. Київ, ВУЛИЦЯ ЛИПСЬКА, буд. 18/5",2102.0,Юридична особа,ПРОПОЗИЦІЯ,КИЇВСЬКА ОБЛАСНА організація,43734685,Київська область,1,2023
Поточна кредиторська заборгованість зі сплати судових зборів,09.11.2020,15765.0,ДЕРЖАВНА СУДОВА АДМІНІСТРАЦІЯ УКРАЇНИ,26255795,"м. Київ, ВУЛИЦЯ ЛИПСЬКА, буд. 18/5",15765.0,Юридична особа,ПРОПОЗИЦІЯ,КИЇВСЬКА ОБЛАСНА організація,43734685,Київська область,1,2023
Поточна кредиторська заборгованість зі сплати судових зборів,14.12.2020,4204.0,ДЕРЖАВНА СУДОВА АДМІНІСТРАЦІЯ УКРАЇНИ,26255795,"м. Київ, ВУЛИЦЯ ЛИПСЬКА, буд. 18/5",4204.0,Юридична особа,ПРОПОЗИЦІЯ,КИЇВСЬКА ОБЛАСНА організація,43734685,Київська область,1,2023
Прострочена плата за обслуговування поточного рахунку в банку,08.03.2022,270.21,"Акціонерний Банк ""Південний""",20953647,"м. Одеса, вул. Краснова, буд. 6/1",270.21,Юридична особа,ПРОПОЗИЦІЯ,МИКОЛАЇВСЬКА ОБЛАСНА організація,43626410,Миколаївська область,1,2023
кредиторська заборгованість за надані послуги ,30.11.2020,160.0,"ПРИВАТНЕ АКЦІОНЕРЕ ТОВАРИСТВО ""ДАТАГРУП""",31720260,"м. Київ, ул. Смоленська, буд. 31-33",160.0,Юридична особа,ПРОПОЗИЦІЯ,РІВНЕНСЬКА ОБЛАСНА організація,43645119,Дніпропетровська область,4,2023
Поточна кредиторська заборгованість зі сплати судових зборів,08.10.2020,5255.0,ДЕРЖАВНА СУДОВА АДМІНІСТРАЦІЯ УКРАЇНИ,26255795,"м. Київ, ВУЛИЦЯ ЛИПСЬКА, буд. 18/5",5255.0,Юридична особа,ПРОПОЗИЦІЯ,КИЇВСЬКА ОБЛАСНА організація,43734685,Київська область,4,2023
Поточна кредиторська заборгованість зі сплати судових зборів,08.10.2020,2102.0,ДЕРЖАВНА СУДОВА АДМІНІСТРАЦІЯ УКРАЇНИ,26255795,"м. Київ, ВУЛИЦЯ ЛИПСЬКА, буд. 18/5",2102.0,Юридична особа,ПРОПОЗИЦІЯ,КИЇВСЬКА ОБЛАСНА організація,43734685,Київська область,4,2023
Поточна кредиторська заборгованість зі сплати судових зборів,09.11.2020,15765.0,ДЕРЖАВНА СУДОВА АДМІНІСТРАЦІЯ УКРАЇНИ,26255795,"м. Київ, ВУЛИЦЯ ЛИПСЬКА, буд. 18/5",15765.0,Юридична особа,ПРОПОЗИЦІЯ,КИЇВСЬКА ОБЛАСНА організація,43734685,Київська область,4,2023
Поточна кредиторська заборгованість зі сплати судових зборів,14.12.2020,4204.0,ДЕРЖАВНА СУДОВА АДМІНІСТРАЦІЯ УКРАЇНИ,26255795,"м. Київ, ВУЛИЦЯ ЛИПСЬКА, буд. 18/5",4204.0,Юридична особа,ПРОПОЗИЦІЯ,КИЇВСЬКА ОБЛАСНА організація,43734685,Київська область,4,2023
Прострочена плата за обслуговування поточного рахунку в банку,08.03.2022,270.21,"Акціонерний Банк ""Південний""",20953647,"м. Одеса, вул. Краснова, буд. 6/1",270.21,Юридична особа,ПРОПОЗИЦІЯ,МИКОЛАЇВСЬКА ОБЛАСНА організація,43626410,Миколаївська область,4,2023
