Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АКЦIОНЕРНЕ ТОВАРИСТВО ""ПЕРШИЙ УКРАЇНСЬКИЙ МIЖНАРОДНИЙ БАНК"" МФО 334851",Поточний рахунок,UA793348510000000026005125627,0.00,ЗА МАЙБУТНЄ,ДНІПРОПЕТРОВСЬКА ОБЛАСНА організація,36639798,Дніпропетровська обл.,2022-12-31,4,2022
"АТ ""УКРЕКСІМБАНК""",Поточний рахунок,UA933223130000026005000045227,0.00,ЗА МАЙБУТНЄ,ЖИТОМИРСЬКА ОБЛАСНА організація,36681991,Житомирська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA233052990000026004045005520,874.10,ЗА МАЙБУТНЄ,КИЇВСЬКА МІСЬКА організація,36757337,м.Київ,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA053052990000026008035102202,409548.00,ЗА МАЙБУТНЄ,КІРОВОГРАДСЬКА ОБЛАСНА організація,37529862,Кіровоградська обл.,2022-12-31,4,2022
АТ «ОЩАДБАНК»,Поточний рахунок,UA313288450000026001300676660,249759.70,ЗА МАЙБУТНЄ,ОДЕСЬКА ОБЛАСНА організація,36612687,Одеська обл.,2022-12-31,4,2022
"ПАТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA673515330000026005052167090,71012.00,ЗА МАЙБУТНЄ,ХАРКІВСЬКА ОБЛАСНА організація,36818462,Харківська обл.,2022-12-31,4,2022
"ЧФ ПАТ КБ ""Приватбанк""",Поточний рахунок,UA153562820000026003060354283,0.00,ЗА МАЙБУТНЄ,ЧЕРНІВЕЦЬКА ОБЛАСНА організація,37596834,Чернівецька обл.,2022-12-31,4,2022
"ЧФ ПАТ КБ ""Приватбанк""",Поточний рахунок,UA463052990000026003001804056,391989.19,ЗА МАЙБУТНЄ,ЧЕРНІВЕЦЬКА ОБЛАСНА організація,37596834,Чернівецька обл.,2022-12-31,4,2022
"ПуАТ ""КБ АКОРДБАНК""",Поточний рахунок,UA403806340000026005167150001,28783.34,ЗА МАЙБУТНЄ,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,43556485,Хмельницька обл.,2022-12-31,4,2022
Полікомбанк Чернігів код банку 353100,Поточний рахунок,UA073531000000026009001061195,29374.90,ЗА МАЙБУТНЄ,ЧЕРНІГІВСЬКА ОБЛАСНА організація,36655097,Чернігівська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA593133990000026000060757363,69597.67,ЗА МАЙБУТНЄ,ЗАПОРІЗЬКА ОБЛАСНА організація,37020829,Запорізька обл.,2022-12-31,4,2022
"АТ КБ ""ПриватБанк""",Поточний рахунок,UA113052990000026003031009058,22705.49,ЗА МАЙБУТНЄ,ЛЬВІВСЬКА ОБЛАСНА організація,36659966,Львівська обл.,2022-12-31,4,2022
"АТ КБ ""ПриватБанк""",Поточний рахунок,UA353052990000026046001001087,0.00,ЗА МАЙБУТНЄ,ЛЬВІВСЬКА ОБЛАСНА організація,36659966,Львівська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA433375460000026007055029277,474945.28,ЗА МАЙБУТНЄ,СУМСЬКА ОБЛАСНА організація,43540318,Сумська обл.,2022-12-31,4,2022
"АТ КБ""Приватбанк""",Поточний рахунок,UA053052990000026007043304071,620.69,ЗА МАЙБУТНЄ,ТЕРНОПІЛЬСЬКА ОБЛАСНА організація,36721143,Тернопільська обл.,2022-12-31,4,2022
"АТ КБ""Приватбанк""",Поточний рахунок,UA953387830000026009055128009,0.00,ЗА МАЙБУТНЄ,ТЕРНОПІЛЬСЬКА ОБЛАСНА організація,36721143,Тернопільська обл.,2022-12-31,4,2022
"АТ ""ПУМБ""",Поточний рахунок,UA453348510000000026001124989,848654.61,ЗА МАЙБУТНЄ,ВОЛИНСЬКА ОБЛАСНА організація,37029088,Волинська обл.,2022-12-31,4,2022
"відділення №2 Акціонерне товариство ""Перший Український Міжнародний банк"" в м.Кременчук",Поточний рахунок,UA483348510000000026007125937,918086.47,ЗА МАЙБУТНЄ,ПОЛТАВСЬКА ОБЛАСНА організація,36454702,Полтавська обл.,2022-12-31,4,2022
"ТВБВ№10016/0200 філія Полтавського обласного управління АТ ""Ощадбанк""",Поточний рахунок,UA613314670000026006300722362,0.00,ЗА МАЙБУТНЄ,ПОЛТАВСЬКА ОБЛАСНА організація,36454702,Полтавська обл.,2022-12-31,4,2022
"АТ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ",Поточний рахунок,UA623802810000026003024429001,3057.17,ЗА МАЙБУТНЄ,КИЇВСЬКА ОБЛАСНА організація,35089318,Київська обл.,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA273026890000026001055364221,0.00,ЗА МАЙБУТНЄ,ВІННИЦЬКА ОБЛАСНА організація,36474205,Вінницька обл.,2022-12-31,4,2022
