Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Область,Дата,
ПАТ “МІБ”,поточний рахунок,26006020316815,"161971,12",Блок Петра Порошенка “Солідарність”,Центральний офіс,Україна,2017-03-31,
ПАТ “МІБ”,поточний рахунок,26102010316815,"860000,00",Блок Петра Порошенка “Солідарність”,Центральний офіс,Україна,2017-03-31,депозитний рахунок
ПАТ “МІБ”,рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007030316815,"5804621,11",Блок Петра Порошенка “Солідарність”,Центральний офіс,Україна,2017-03-31,
ПАТ КБ “Приватбанк”,поточний рахунок,26009054713048,"2439,26",Блок Петра Порошенка “Солідарність”,Рівненська обласна організація,Рівненська область,2017-03-31,
ПАТ КБ “Приватбанк”,поточний рахунок,26009055016910,"193,92",Блок Петра Порошенка “Солідарність”,Сумська обласна організація,Сумська область,2017-03-31,
ПАТ КБ “Приватбанк”,поточний рахунок,26009055114295,"222095,41",Блок Петра Порошенка “Солідарність”,Тернопільська обласна організація,Тернопільська область,2017-03-31,
ПАТ “Укрсоцбанк”,поточний рахунок,26001011576381,"64161,93",Блок Петра Порошенка “Солідарність”,Хмельницька обласна організація,Хмельницька область,2017-03-31,
АБ “Укргазбанк”,поточний рахунок,26001266059,"62377,14",Блок Петра Порошенка “Солідарність”,Херсонська обласна організація,Херсонська область,2017-03-31,
ПАТ “Мегабанк”,поточний рахунок,2600912063,"28146,14",Блок Петра Порошенка “Солідарність”,Харківська обласна організація,Харківська область,2017-03-31,
ПАТ “Мегабанк”,поточний рахунок,2600420063,"266,90",Блок Петра Порошенка “Солідарність”,Харківська обласна організація,Харківська область,2017-03-31,картковий рахунок
АТ “Ощадбанк”,поточний рахунок,26002001135423,"0,00",Блок Петра Порошенка “Солідарність”,Черкаська обласна організація,Черкаська область,2017-03-31,
ПАТ КБ “Приватбанк”,поточний рахунок,26000021523322,"739,06",Блок Петра Порошенка “Солідарність”,Черкаська обласна організація,Черкаська область,2017-03-31,
АБ “Укргазбанк”,поточний рахунок,26001266565,"4287,79",Блок Петра Порошенка “Солідарність”,Чернівецька обласна організація,Чернівецька область,2017-03-31,
ПАТ “Укрсоцбанк”,поточний рахунок,26006011627020,"10530,80",Блок Петра Порошенка “Солідарність”,Чернігівська обласна організація,Чернігівська область,2017-03-31,
ПАТ “Укргазбанк”,поточний рахунок,26004924417302,"0,00",Блок Петра Порошенка “Солідарність”,Білопільська районна організація,Сумська область,2017-03-31,
