Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA323808050000000026005643697,"13044,58",Голос,Центральний офіс,39651598,Україна,2020-03-31,1,2020,поточний
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA203808050000000002610047267,50000000,Голос,Центральний офіс,39651598,Україна,2020-03-31,1,2020,строковий депозит
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA023808050000000002610947266,45000000,Голос,Центральний офіс,39651598,Україна,2020-03-31,1,2020,строковий депозит
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA183808050000000026002673518,6769560,Голос,Центральний офіс,39651598,Україна,2020-03-31,1,2020,поточний депозит
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA663808050000000002604184729,0,Голос,Центральний офіс,39651598,Україна,2020-03-31,1,2020,соціальний
"АТ ""Райффайзен банк Аваль""","рахунок для відшкодування витрат, повʼязаних із фінансуванням передвиборної агітації",UA973808050000000026004669423,"253784,34",Голос,Центральний офіс,39651598,Україна,2020-03-31,1,2020,
"АТ ""Райффайзен банк Аваль""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,UA813808050000000026002651529,"3728999,06",Голос,Центральний офіс,39651598,Україна,2020-03-31,1,2020,
невідомо,поточний рахунок,74125343,0,Голос,Вінницька обласна організаці,43428147,Вінницька область,2020-03-31,1,2020,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA873808050000000026002678096,0,Голос,Дніпропетровська обласна організація,43433560,Дніпропетровська область,2020-03-31,1,2020,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA833808050000000026006677963,7746,Голос,Івано-Франківська обласна організація,43373308,Івано-Франківська область,2020-03-31,1,2020,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA673808050000000026009659546,56808,Голос,Київська міська організація,43204012,Київ,2020-03-31,1,2020,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA373348510000026005962508231,0,Голос,Київська обласна організація,43307785,Київська область,2020-03-31,1,2020,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA87380805000000002664516,"578,81",Голос,Кіровоградська обласна організація,43307408,Кіровоградська область,2020-03-31,1,2020,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA893808050000000026001668193,"95711,29",Голос,Львівська обласна організація,43311440,Львівська область,2020-03-31,1,2020,
невідомо,поточний рахунок,74125344,0,Голос,Одеська обласна організація,43527082,Одеська область,2020-03-31,1,2020,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA583808050000000026006665221,20,Голос,Рівненська обласна організація,43315659,Рівненська область,2020-03-31,1,2020,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA023808050000000026006664192,"3665,22",Голос,Тернопільська обласна організація,43306708,Тернопільська область,2020-03-31,1,2020,
невідомо,поточний рахунок,74125346,0,Голос,Харківська обласна організація,43433026,Харківська область,2020-03-31,1,2020,
невідомо,поточний рахунок,74125349,0,Голос,Херсонська обласна організація,43449722,Херсонська область,2020-03-31,1,2020,
невідомо,поточний рахунок,74125347,0,Голос,Хмельницька обласна організація,43425083,Хмельницька область,2020-03-31,1,2020,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA043808050000000026008664587,16656,Голос,Чернівецька обласна організація,43314572,Чернівецька область,2020-03-31,1,2020,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA693808050000000026004671091,38128,Голос,Черкаська обласна організація,43379734,Черкаська область,2020-03-31,1,2020,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,UA283808050000000026007679799,7500,Голос,Чернігівська обласна організація,43438918,Чернігівська область,2020-03-31,1,2020,
