Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об'єкт,Дата,Квартал,Рік
"філія-Вінницьке обласне управління АТ""Ощадбанк""",поточний рахунок,UA643020760000026002300501478,145.42,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Центральний офіс,39610682,Україна,2020-12-31,"1,2,3,4",2020
"філії-Головне управління по м.Києву та Київській області АТ""Ощадбанк""",поточний рахунок,UA513226690000026007301704625,480779.53,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Центральний офіс,39610682,Україна,2020-12-31,"1,2,3,4",2020
"філії-Головне управління по м.Києву та Київській області АТ""Ощадбанк""",рахунок для отримання коштів з Державного бюджету України,UA513226690000026008300704625,0.0,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Центральний офіс,39610682,Україна,2020-12-31,"1,2,3,4",2020
"філія-ПАТ АБ ""УКРГАЗБАНК""",поточний рахунок,UA823204780000026005924891789,603028.13,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Вінницька Обласна Організація ,43736745,Вінницька область,2020-12-31,"1,2,3,4",2020
"філія ПАТ АБ ""УКРГАЗБАНК""",поточний рахунок,UA4432047800000026008924893535,3158.4,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Донецька Обласна Організація ,43784212,Донецька область,2020-12-31,"1,2,3,4",2020
"Філія ""Житомирське Регіональне Управління ""ПАТ КБ ""ПРИВАТБАНК""",поточний рахунок,UA063117440000026000055845951,13496.0,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Житомирська Обласна Організація ,43790933,Житомирська область,2020-12-31,"1,2,3,4",2020
"Філія-Гол.упр.по м.Київ та Київській обл. ПАТ ""Державний ощадний банк України""",поточний рахунок,UA763226690000026008300702713,86.0,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Київська Обласна Організація ,43770079,Київська область,2020-12-31,"1,2,3,4",2020
"Філія ""Кіровоградське регіональне управління"" АТ КБ ""ПРИВАТБАНК""",поточний рахунок,UA983235830000026001052936407,0.0,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Кіровоградська Обласна Організація ,43808327,Кіровоградська область,2020-12-31,"1,2,3,4",2020
"Філія Полтавське обл. упр. ПАТ ""Державний ощадний банк України""",поточний рахунок,UA023314670000026004300726984,0.0,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Лубенська Міська Організація ,43803706,Полтавська область,2020-12-31,"1,2,3,4",2020
"Філія ""Західне Головне Регіональне Управління ""ПАТ КБ ""ПРИВАТБАНК""",поточний рахунок,UA453253210000026005053796781,0.0,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Львівська Обласна Організація ,43814110,Львівська область,2020-12-31,"1,2,3,4",2020
"Філія ""Миколаївське Регіональне Управління"" ПАТ КБ ""ПРИВАТБАНК""",поточний рахунок,UA843266100000026002054108239,12910.0,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Первомайська Міська Організація ,43831309,Миколаївська область,2020-12-31,"1,2,3,4",2020
"Філія Одеське обл. упр. ПАТ ""Державний ощадний банк України""",поточний рахунок,UA063288450000026009300706617,0.0,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Подільська Районна Організація ,43787260,Одеська область,2020-12-31,"1,2,3,4",2020
"Філія ПАТ АБ ""УКРГАЗБАНК""",поточний рахунок,UA553204780000026002924893638,5259.0,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Харківська Обласна Організація ,43797551,Харківська область,2020-12-31,"1,2,3,4",2020
"Філія Хмельницьке обласне управління ПАТ ""Державний ощадний банк України""",поточний рахунок,UA203157840000026002300734834,64.0,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Хмельницька Обласна Організація ,43779899,Хмельницька область,2020-12-31,"1,2,3,4",2020
"Філія Закарпатське обл. упр. ПАТ ""Державний ощадний банк України""",поточний рахунок,UA813123560000026004300712016,184.5,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Хустська Міська Організація ,43777954,Закарпатська область,2020-12-31,"1,2,3,4",2020
"Філія Закарпатське обл. упр. ПАТ ""Державний ощадний банк України""",поточний рахунок,UA613123560000026002300713705,2569.5,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Хустська Районна Організація ,43778116,Закарпатська область,2020-12-31,"1,2,3,4",2020
"Філія Івано-Франківського обласного упр. ПАТ ""Державний ощадний банк України""",поточний рахунок,UA023365030000026001301720502,2206.0,"Політична партія ""УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА""",Яремчанська Міська Організація ,43810425,Івано-Франківська область,2020-12-31,"1,2,3,4",2020
