Вид нематеріального активу,Назва нематеріального активу,Місцезнаходження обʼєкта,Дата придбання,Вартість придбання,Наявність обтяжень,Дата відчуження,Вартість відчуження майна,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Емблема політичної партії “Народний фронт”,Україна,2014-11-17,,обтяження відсутнє,,,,"2833,2",Народний фронт,Центральний офіс,39181335,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Прапор політичної партії “Народний фронт”,Україна,2014-11-17,,обтяження відсутнє,,,,"2833,2",Народний фронт,Центральний офіс,39181335,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Девіз політичної партії “Народний фронт”,Україна,2014-11-17,,обтяження відсутнє,,,,"2833,2",Народний фронт,Центральний офіс,39181335,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Права на видавництво газети “Народний фронт”,Україна,2014-09-15,,обтяження відсутнє,,,,"2749,87",Народний фронт,Центральний офіс,39181335,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт політичної партії ""Народний фронт""",Україна,2017-09-05,,обтяження відсутнє,,,,"3212,44",Народний фронт,Центральний офіс,39181335,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Компʼютерна програма ""1С:Підприємство 8.3""",Україна,2016-12-26,8892,обтяження відсутнє,,,,"26170,14",Народний фронт,Центральний офіс,39181335,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Операційна система Windows 10 Professinal (100 ліцензій),Україна,2017-12-28,674000,обтяження відсутнє,,,,"642320,12",Народний фронт,Центральний офіс,39181335,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Офісна програма Microsoft Office 2016 (100 ліцензій),Україна,2017-12-28,619300,обтяження відсутнє,,,,"590191,96",Народний фронт,Центральний офіс,39181335,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Компʼютерна програма M.E.Doc,Україна,2018-12-27,2102,обтяження відсутнє,,,,"1926,84",Народний фронт,Центральний офіс,39181335,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Компʼютерна програма ""Програмний комплекс FREEDOM""",Україна,2018-12-26,439,обтяження відсутнє,,,,"420,71",Народний фронт,Центральний офіс,39181335,Україна,1,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Емблема політичної партії “Народний фронт”,Україна,2014-11-17,,обтяження відсутнє,,,,"2708,19",Народний фронт,Центральний офіс,39181335,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Прапор політичної партії “Народний фронт”,Україна,2014-11-17,,обтяження відсутнє,,,,"2708,19",Народний фронт,Центральний офіс,39181335,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Девіз політичної партії “Народний фронт”,Україна,2014-11-17,,обтяження відсутнє,,,,"2708,19",Народний фронт,Центральний офіс,39181335,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Права на видавництво газети “Народний фронт”,Україна,2014-09-15,,обтяження відсутнє,,,,"2624,86",Народний фронт,Центральний офіс,39181335,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Веб-сайт політичної партії ""Народний фронт""",Україна,2017-09-05,,обтяження відсутнє,,,,"1606,18",Народний фронт,Центральний офіс,39181335,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Компʼютерна програма ""1С:Підприємство 8.3""",Україна,2016-12-26,8892,обтяження відсутнє,,,,"24217,08",Народний фронт,Центральний офіс,39181335,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Операційна система Windows 10 Professinal (100 ліцензій),Україна,2017-12-28,674000,обтяження відсутнє,,,,"626480,18",Народний фронт,Центральний офіс,39181335,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Офісна програма Microsoft Office 2016 (100 ліцензій),Україна,2017-12-28,619300,обтяження відсутнє,,,,"575637,94",Народний фронт,Центральний офіс,39181335,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)",Компʼютерна програма M.E.Doc,Україна,2018-12-27,2102,обтяження відсутнє,,,,"1664,1",Народний фронт,Центральний офіс,39181335,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Компʼютерна програма ""Програмний комплекс FREEDOM""",Україна,2018-12-26,439,обтяження відсутнє,,,,"365,84",Народний фронт,Центральний офіс,39181335,Україна,2,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Емблема Політичної партії ""Народний Фронт""",Україна,2014-11-17,,обтяження відсутнє,,,,"2583,18",Народний фронт,Центральний офіс,39181335,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Прапор Політичної партії ""Народний Фронт""",Україна,2014-11-17,,обтяження відсутнє,,,,"2583,18",Народний фронт,Центральний офіс,39181335,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Девіз Політичної партії ""Народний Фронт""",Україна,2014-11-17,,обтяження відсутнє,,,,"2583,18",Народний фронт,Центральний офіс,39181335,Україна,3,2019
"Інші нематеріальні права (право на провадження діяльності, використання економічних та інших привілеїв)","Права на видавництво газети ""НАРОДНИЙ ФРОНТ""",Україна,2014-09-15,,обтяження відсутнє,,,,"2499,85",Народний фронт,Центральний офіс,39181335,Україна,3,2019
