Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,Дата припинення,Сума (вартість) зобовʼязання на момент припинення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),"Сума (вартість) на кінець звітного періоду, грн",Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
Послуги звʼязку,2016-12-31,"2000,5",,,"ПРАТ ""КИЇВСТАР""",21673832,"Київ, проспект Валерія Лобановського, 51","2000,5",юридична особа,Воля,Центральний офіс,37413211,Україна,5,2016
Послуги звʼязку,2016-12-31,"1095,22",,,"""УКРАЇНСЬКО-ГЕРМАНСЬКО-ГОЛАНДСЬКО-ДАТСЬКЕ СПІЛЬНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ МОБІЛЬНИЙ ЗВʼЯЗОК"" В УКРАЇНІ",14333937,"Київ, вулиця Лейпцизька, 15","1095,22",юридична особа,Воля,Центральний офіс,37413211,Україна,5,2016
Оренда приміщень,2016-11-30,"5429,55",,,"ПРАТ ""СТРАХОВА КОМПАНІЯ ""УНІВЕРСАЛЬНА""",20113829,"Київ, бульвар Лесі Українки, 9","5429,55",юридична особа,Воля,Центральний офіс,37413211,Україна,5,2016
Оренда приміщень,2016-12-31,"5757,77",,,"ПРАТ ""СТРАХОВА КОМПАНІЯ ""УНІВЕРСАЛЬНА""",20113829,"Київ, бульвар Лесі Українки, 9","5757,77",юридична особа,Воля,Центральний офіс,37413211,Україна,5,2016
Технічне обслуговування сайту,2016-12-31,10000,,,Макеєв І.О.,3151723936,"м. Житомир, вул. Старовільська, буд. 20/10",10000,ФОП,Воля,Центральний офіс,37413211,Україна,5,2016
Оренда кулерів,2016-10-31,30,,,"ТОВ ""АКВАМАРКЕТ СЕРВІС""",38791982,"Київ, вулиця Авіаконструктора Антонова, 5Б",30,юридична особа,Воля,Центральний офіс,37413211,Україна,5,2016
Оренда кулерів,2016-11-30,180,,,"ТОВ ""АКВАМАРКЕТ СЕРВІС""",38791982,"Київ, вулиця Авіаконструктора Антонова, 5Б",180,юридична особа,Воля,Центральний офіс,37413211,Україна,5,2016
Оренда кулерів,2016-12-31,180,,,"ТОВ ""АКВАМАРКЕТ СЕРВІС""",38791982,"Київ, вулиця Авіаконструктора Антонова, 5Б",180,юридична особа,Воля,Центральний офіс,37413211,Україна,5,2016
Послуги звʼязку,2017-03-31,"1009,57",,,"""УКРАЇНСЬКО-ГЕРМАНСЬКО-ГОЛАНДСЬКО-ДАТСЬКЕ СПІЛЬНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ МОБІЛЬНИЙ ЗВʼЯЗОК"" В УКРАЇНІ",14333937,"Київ, вулиця Лейпцизька, 15","1009,57",юридична особа,Воля,Центральний офіс,37413211,Україна,1,2017
Комунальні послуги оренда приміщення,2017-03-31,"4605,81",,,"ПРАТ ""СТРАХОВА КОМПАНІЯ ""УНІВЕРСАЛЬНА""",20113829,"Київ, бульвар Лесі Українки, 9","4605,81",юридична особа,Воля,Центральний офіс,37413211,Україна,1,2017
Оренда кулерів,2017-03-31,180,,,"ТОВ ""АКВАМАРКЕТ СЕРВІС""",38791982,"Київ, вулиця Авіаконструктора Антонова, 5Б",180,юридична особа,Воля,Центральний офіс,37413211,Україна,1,2017
Послуги звʼязку,2017-06-30,"990,34",,,"""УКРАЇНСЬКО-ГЕРМАНСЬКО-ГОЛАНДСЬКО-ДАТСЬКЕ СПІЛЬНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ МОБІЛЬНИЙ ЗВʼЯЗОК"" В УКРАЇНІ",14333937,"Київ, вулиця Лейпцизька, 15","990,34",юридична особа,Воля,Центральний офіс,37413211,Україна,2,2017
Комунальні послуги оренда приміщення,2017-06-30,"2053,2",,,"ПРАТ ""СТРАХОВА КОМПАНІЯ ""УНІВЕРСАЛЬНА""",20113829,"Київ, бульвар Лесі Українки, 9","2053,2",юридична особа,Воля,Центральний офіс,37413211,Україна,2,2017
Оренда кулерів,2017-06-30,360,,,"ТОВ ""АКВАМАРКЕТ СЕРВІС""",38791982,"Київ, вулиця Авіаконструктора Антонова, 5Б",360,юридична особа,Воля,Центральний офіс,37413211,Україна,2,2017
