Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Сума (вартість) на кінець звітного періоду грн,Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
Комісія за обслуговування рахунку,02.01.2023,100.0,"АТ КБ ""ПРИВАТБАНК""",14360570,м. Житомир Набережна Перемоги буд. 50,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,ЖИТОМИРСЬКА ОБЛАСНА організація,43825735,Житомирська область,4,2023
Комісія за обслуговування рахунку,01.02.2023,100.0,"АТ КБ ""ПРИВАТБАНК""",14360570,м. Житомир Набережна Перемоги буд. 50,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,ЖИТОМИРСЬКА ОБЛАСНА організація,43825735,Житомирська область,4,2023
Комісія за обслуговування рахунку,01.03.2023,100.0,"АТ КБ ""ПРИВАТБАНК""",14360570,м. Житомир Набережна Перемоги буд. 50,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,ЖИТОМИРСЬКА ОБЛАСНА організація,43825735,Житомирська область,4,2023
Комісія за обслуговування рахунку,01.04.2023,100.0,"АТ КБ ""ПРИВАТБАНК""",14360570,м. Житомир Набережна Перемоги буд. 50,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,ЖИТОМИРСЬКА ОБЛАСНА організація,43825735,Житомирська область,4,2023
Комісія за обслуговування рахунку,01.05.2023,100.0,"АТ КБ ""ПРИВАТБАНК""",14360570,м. Житомир Набережна Перемоги буд. 50,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,ЖИТОМИРСЬКА ОБЛАСНА організація,43825735,Житомирська область,4,2023
Комісія за обслуговування рахунку,01.06.2023,100.0,"АТ КБ ""ПРИВАТБАНК""",14360570,м. Житомир Набережна Перемоги буд. 50,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,ЖИТОМИРСЬКА ОБЛАСНА організація,43825735,Житомирська область,4,2023
Комісія за обслуговування рахунку,01.07.2023,225.0,"АТ КБ ""ПРИВАТБАНК""",14360570,м. Житомир Набережна Перемоги буд. 50,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,ЖИТОМИРСЬКА ОБЛАСНА організація,43825735,Житомирська область,4,2023
Комісія за обслуговування рахунку,01.08.2023,225.0,"АТ КБ ""ПРИВАТБАНК""",14360570,м. Житомир Набережна Перемоги буд. 50,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,ЖИТОМИРСЬКА ОБЛАСНА організація,43825735,Житомирська область,4,2023
Комісія за обслуговування рахунку,01.09.2023,225.0,"АТ КБ ""ПРИВАТБАНК""",14360570,м. Житомир Набережна Перемоги буд. 50,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,ЖИТОМИРСЬКА ОБЛАСНА організація,43825735,Житомирська область,4,2023
Комісія за обслуговування рахунку,01.10.2023,225.0,"АТ КБ ""ПРИВАТБАНК""",14360570,м. Житомир Набережна Перемоги буд. 50,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,ЖИТОМИРСЬКА ОБЛАСНА організація,43825735,Житомирська область,4,2023
Комісія за обслуговування рахунку,01.11.2023,225.0,"АТ КБ ""ПРИВАТБАНК""",14360570,м. Житомир Набережна Перемоги буд. 50,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,ЖИТОМИРСЬКА ОБЛАСНА організація,43825735,Житомирська область,4,2023
Комісія за обслуговування рахунку,01.12.2023,225.0,"АТ КБ ""ПРИВАТБАНК""",14360570,м. Житомир Набережна Перемоги буд. 50,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,ЖИТОМИРСЬКА ОБЛАСНА організація,43825735,Житомирська область,4,2023
борг згідно рішення суду,15.08.2023,177803.1,Управління Міністерства юстиції,34979022,м. Київ вул. Різницька буд. 11Б,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,Центральний офіс,37279703,Київ,4,2023
борг згідно рішення суду,04.10.2023,92022.8,Управління Міністерства юстиції,34979022,м. Київ вул. Різницька буд. 11Б,0,Юридична особа,РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА,Центральний офіс,37279703,Київ,4,2023
