Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
Акціонерний банк Південний,Поточний рахунок,UA943282090000026009010007815,40372.61,НАШ КРАЙ,ОДЕСЬКА ОБЛАСНА організація,39573866,Одеська обл.,2024-06-30,2,2024
"ПАТ ""МЕГАБАНК"", Харків",Поточний рахунок,UA063516290000000026003240342,585171.00,НАШ КРАЙ,ЧЕРНІГІВСЬКА ОБЛАСНА організація,39975897,Чернігівська обл.,2024-06-30,2,2024
"АБ ""Укргазбанк""",Поточний рахунок,UA783204780000026005924904762,138840.00,НАШ КРАЙ,ЧЕРНІГІВСЬКА ОБЛАСНА організація,39975897,Чернігівська обл.,2024-06-30,2,2024
АТ КБ ПриватБанк,Поточний рахунок,UA853047950000026005053724702,0.00,НАШ КРАЙ,ЛУГАНСЬКА ОБЛАСНА організація,39966023,Луганська обл.,2024-06-30,2,2024
АБ УКРГАЗБАНК,Поточний рахунок,UA273204780000000026008288858,4526.77,НАШ КРАЙ,ЛУГАНСЬКА ОБЛАСНА організація,39966023,Луганська обл.,2024-06-30,2,2024
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA713052990000026004010117733,12950.05,НАШ КРАЙ,БОРИСПІЛЬСЬКА МІСЬКА організація,40030617,Київська обл.,2024-06-30,2,2024
"АТ ""МЕГАБАНК"", Харків",Поточний рахунок,UA553516290000000002600318247,366538.98,НАШ КРАЙ,СУМСЬКА ОБЛАСНА організація,40007724,Сумська обл.,2024-06-30,2,2024
"АТ ""Ощадбанк""",Поточний рахунок,UA113139570000026000300238443,1614.45,НАШ КРАЙ,ЗАПОРІЗЬКА ОБЛАСНА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ НАШ,39968366,Запорізька обл.,2024-06-30,2,2024
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA323052990000026001006412070,3347.00,НАШ КРАЙ,ЖИТОМИРСЬКА ОБЛАСНА організація,40006563,Житомирська обл.,2024-06-30,2,2024
"ПАТ ""Банк Восток""",Поточний рахунок,UA553071230000026005020738064,10274.36,НАШ КРАЙ,МИКОЛАЇВСЬКА ОБЛАСНА організація,39956738,Миколаївська обл.,2024-06-30,2,2024
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA573052990000026003026813077,24372.37,НАШ КРАЙ,КИЇВСЬКА ОБЛАСНА організація,39863371,Київська обл.,2024-06-30,2,2024
ГОЛОВНЕ УПРАВЛІННЯ ПО АТ ОЩАД М.КИЇВ,Поточний рахунок,UA373226690000026006300169983,80.47,НАШ КРАЙ,Центральний офіс,37724082,Україна,2024-06-30,2,2024
