Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Сума (вартість) на кінець звітного періоду грн,Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
Комісія за обслуговування рахунку за грудень 2020 р.,04.01.2021,18,Приватбанк,14360570,"Київ, ВУЛИЦЯ ГРУШЕВСЬКОГО, буд. 1Д",18,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Житомирська обласна організація,20414943,Житомирська область,1,2021
Комісія за обслуговування рахунку за грудень 2020 р.,04.01.2021,132,Приватбанк,14360570,"Київ, ВУЛИЦЯ ГРУШЕВСЬКОГО, буд. 1Д",132,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Житомирська обласна організація,20414943,Житомирська область,1,2021
неустойка на користь Управління комунальної власності ЛМР ,24.04.2020,125542.69,Управління комунальної власності ДЕР ЛМР,25558625,"м. Львів, Галицький р-н, пл. Галицька, буд. 15",125542.69,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,4,2021
судовий збір на користь Управління комунальної власності ЛМР ,24.04.2020,1921.0,Управління комунальної власності ДЕР ЛМР,25558625,"м. Львів, Галицький р-н, пл. Галицька, буд. 15",1921.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,4,2021
"виконавчий збір, основна винагорода приватного виконавця",24.04.2020,12554.27,Галицький відділ державної виконавчої служби у місті Львові. Приватний виконавець Білецький І.М.,35009232,"м. Львів, пр. Чорновола, буд. 39",12554.27,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,4,2021
судовий збір на користь Управління комунальної власності ЛМР ,26.03.2021,1600.0,Управління комунальної власності ДЕР ЛМР,25558625,"м. Львів, Галицький р-н, пл. Галицька, буд. 15",1600.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,4,2021
виконавчий збір,26.03.2021,160.0,Галицький відділ державної виконавчої служби у місті Львові,35009232,"м. Львів, пр. Чорновола, буд. 39",160.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,4,2021
стягнення заборгованості з оплати комунальних послуг,18.09.2020,1506.71,"ТОВ ""Львівенергозбут""",42092130,"м. Львів, вул. Шевченка, буд. 1",1506.71,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,4,2021
виконавчий збір,18.09.2020,150.67,Галицький відділ державної виконавчої служби у місті Львові,35009232,"м. Львів, пр. Чорновола, буд. 39",150.67,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,4,2021
заборгованість перед Управлінням комунальної власності ДЕП ЛМР ,20.05.2020,270740.7,Управління комунальної власності ДЕП ЛМР ,25558625,"м. Львів, пл. Галицька, буд. 15",270740.7,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Львівська обласна організація,33981837,Львівська область,4,2021
виконавчий збір,20.05.2020,27074.07,Галицький відділ державної виконавчої служби у місті Львові,35009232,"м. Львів, пр. Чорновола, буд. 39",27074.07,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Львівська обласна організація,33981837,Львівська область,4,2021
стягнення заборгованості по орендній платі на користь Управління комунальної власності ДЕП ЛМР ,20.05.2021,67813.02,Управління комунальної власності ДЕП ЛМР ,25558625,"м. Львів, пл. Галицька, буд. 15",67813.02,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Львівська обласна організація,33981837,Львівська область,4,2021
виконавчий збір,20.05.2021,6781.3,Галицький відділ державної виконавчої служби у місті Львові,35009232,"м. Львів, пр. Чорновола, буд. 39",6781.3,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Львівська обласна організація,33981837,Львівська область,4,2021
"судовий збір на користь МКП ""Основаніє""",11.01.2020,1147.0,"МКП ""Основаніє""",20485152,"м. Запоріжжя. вул. Українська, буд. 29А",1147.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,4,2021
виконавчий збір,11.01.2020,114.7,Вознесенівський відділ державної виконавчої служби у місті Запоріжжі,35037170,"м. Запоріжжя, пр. Металургів, буд. 6",114.7,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,4,2021
борг за використану теплову енергію,21.07.2021,2627.62,"Концерн ""Міські теплові мережі""",32121458,"м. Запоріжжя, бул. Гвардійський, буд. 137",2627.62,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,4,2021
державне мито,21.07.2021,102.0,Вознесенівський відділ державної виконавчої служби у місті Запоріжжі,35037170,"м. Запоріжжя, пр. Металургів, буд. 6",102.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,4,2021
витрати на інформаційно-технічне забезпечення,21.07.2021,236.0,Вознесенівський відділ державної виконавчої служби у місті Запоріжжі,35037170,"м. Запоріжжя, пр. Металургів, буд. 6",236.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,4,2021
виконавчий збір,21.07.2021,272.96,Вознесенівський відділ державної виконавчої служби у місті Запоріжжі,35037170,"м. Запоріжжя, пр. Металургів, буд. 6",272.96,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,4,2021
"борг перед Концерном ""Міські теплові мережі""",21.07.2021,1667.35,"Концерн ""Міські теплові мережі""",32121458,"м. Запоріжжя, бул. Гвардійський, буд. 137",1667.35,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,4,2021
виконавчий збір,21.07.2021,166.73,Вознесенівський відділ державної виконавчої служби у місті Запоріжжі,35037170,"м. Запоріжжя, пр. Металургів, буд. 6",166.73,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,4,2021
Комісія за обслуговування рахунку за грудень 2020 р.,04.01.2021,18.0,Приватбанк,14360570,"Київ, ВУЛИЦЯ ГРУШЕВСЬКОГО, буд. 1Д",18.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Житомирська обласна організація,20414943,Житомирська область,3,2021
неустойка на користь Управління комунальної власності ЛМР ,24.04.2020,125542.69,Управління комунальної власності ДЕР ЛМР,25558625,"м. Львів, Галицький р-н, пл. Галицька, буд. 15",125542.69,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,3,2021
судовий збір на користь Управління комунальної власності ЛМР ,24.04.2020,1921.0,Управління комунальної власності ДЕР ЛМР,25558625,"м. Львів, Галицький р-н, пл. Галицька, буд. 15",1921.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,3,2021
"виконавчий збір, основна винагорода приватного виконавця",24.04.2020,12554.27,Галицький відділ державної виконавчої служби у місті Львові. Приватний виконавець Білецький І.М.,35009232,"м. Львів, пр. Чорновола, буд. 39",12554.27,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,3,2021
судовий збір на користь Управління комунальної власності ЛМР ,26.03.2021,1600.0,Управління комунальної власності ДЕР ЛМР,25558625,"м. Львів, Галицький р-н, пл. Галицька, буд. 15",1600.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,3,2021
виконавчий збір,26.03.2021,160.0,Галицький відділ державної виконавчої служби у місті Львові,35009232,"м. Львів, пр. Чорновола, буд. 39",160.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,3,2021
стягнення заборгованості з оплати комунальних послуг,18.09.2020,1506.71,"ТОВ ""Львівенергозбут""",42092130,"м. Львів, вул. Шевченка, буд. 1",1506.71,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,3,2021
виконавчий збір,18.09.2020,150.67,Галицький відділ державної виконавчої служби у місті Львові,35009232,"м. Львів, пр. Чорновола, буд. 39",150.67,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Галицька районна організація Української республіканської партії Собор,20772874,Львівська область,3,2021
заборгованість перед Управлінням комунальної власності ДЕП ЛМР ,20.05.2020,270740.7,Управління комунальної власності ДЕП ЛМР ,25558625,"м. Львів, пл. Галицька, буд. 15",270740.7,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Львівська обласна організація,33981837,Львівська область,3,2021
виконавчий збір,20.05.2020,27074.07,Галицький відділ державної виконавчої служби у місті Львові,35009232,"м. Львів, пр. Чорновола, буд. 39",27074.07,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Львівська обласна організація,33981837,Львівська область,3,2021
стягнення заборгованості по орендній платі на користь Управління комунальної власності ДЕП ЛМР ,20.05.2021,67813.02,Управління комунальної власності ДЕП ЛМР ,25558625,"м. Львів, пл. Галицька, буд. 15",67813.02,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Львівська обласна організація,33981837,Львівська область,3,2021
виконавчий збір,20.05.2021,6781.3,Галицький відділ державної виконавчої служби у місті Львові,35009232,"м. Львів, пр. Чорновола, буд. 39",6781.3,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Львівська обласна організація,33981837,Львівська область,3,2021
"судовий збір на користь МКП ""Основаніє""",11.01.2020,1147.0,"МКП ""Основаніє""",20485152,"м. Запоріжжя. вул. Українська, буд. 29А",1147.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
виконавчий збір,11.01.2020,114.7,Вознесенівський відділ державної виконавчої служби у місті Запоріжжі,35037170,"м. Запоріжжя, пр. Металургів, буд. 6",114.7,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
борг за використану теплову енергію,21.07.2021,2627.62,"Концерн ""Міські теплові мережі""",32121458,"м. Запоріжжя, бул. Гвардійський, буд. 137",2627.62,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
державне мито,21.07.2021,102.0,Вознесенівський відділ державної виконавчої служби у місті Запоріжжі,35037170,"м. Запоріжжя, пр. Металургів, буд. 6",102.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
витрати на інформаційно-технічне забезпечення,21.07.2021,236.0,Вознесенівський відділ державної виконавчої служби у місті Запоріжжі,35037170,"м. Запоріжжя, пр. Металургів, буд. 6",236.0,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
виконавчий збір,21.07.2021,272.96,Вознесенівський відділ державної виконавчої служби у місті Запоріжжі,35037170,"м. Запоріжжя, пр. Металургів, буд. 6",272.96,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
"борг перед Концерном ""Міські теплові мережі""",21.07.2021,1667.35,"Концерн ""Міські теплові мережі""",32121458,"м. Запоріжжя, бул. Гвардійський, буд. 137",1667.35,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
виконавчий збір,21.07.2021,166.73,Вознесенівський відділ державної виконавчої служби у місті Запоріжжі,35037170,"м. Запоріжжя, пр. Металургів, буд. 6",166.73,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
"борг перед Концерном ""Міські теплові мережі""",21.07.2021,2782.36,"Концерн ""Міські теплові мережі""",32121458,"м. Запоріжжя, бул. Гвардійський, буд. 137",2782.36,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
"судовий збір на користь Концерну ""Міські теплові мережі""",21.07.2021,1609.5,"Концерн ""Міські теплові мережі""",32121458,"м. Запоріжжя, бул. Гвардійський, буд. 137",1609.5,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
виконавчий збір,21.07.2021,439.18,Вознесенівський відділ державної виконавчої служби у місті Запоріжжі,35037170,"м. Запоріжжя, пр. Металургів, буд. 6",439.18,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
"борг перед Концерном ""Міські теплові мережі""",23.07.2021,3698.99,"Концерн ""Міські теплові мережі""",32121458,"м. Запоріжжя, бул. Гвардійський, буд. 137",3698.99,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
"судовий збір на користь Концерну ""Міські теплові мережі""",23.07.2021,1720.5,"Концерн ""Міські теплові мережі""",32121458,"м. Запоріжжя, бул. Гвардійський, буд. 137",1720.5,Юридична особа,РЕСПУБЛІКАНСЬКА ПЛАТФОРМА,Запорізька обласна організація,20517136,Запорізька область,3,2021
