Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA943515330000026008052108205,0.00,ДОВІРЯЙ ДІЛАМ,в Харківській області організація,43031979,Харківська обл.,2024-06-30,2,2024
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA793515330000026041052105801,0.00,ДОВІРЯЙ ДІЛАМ,в Харківській області організація,43031979,Харківська обл.,2024-06-30,2,2024
"АТ КБ ""ПРИВАТБАНК"" Центральне відділення Харківського ГРУ",Поточний рахунок,UA923515330000026008052150242,0.00,ДОВІРЯЙ ДІЛАМ,Харківська міська організація,43317395,Харківська обл.,2024-06-30,2,2024
"ПАТ ""МТБ БАНК""",Поточний рахунок,UA373281680000000026002178771,17.15,ДОВІРЯЙ ДІЛАМ,в Одеській області організація,26133326,Одеська обл.,2024-06-30,2,2024
"ПАТ ""МТБ БАНК""",Поточний рахунок,UA663281680000000026001178761,579135.05,ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2024-06-30,2,2024
"АТ КБ ""ПРИВАТБАНК"" Центральне відділення Харківського ГРУ",Поточний рахунок,UA923515330000026008052150242,0.00,ДОВІРЯЙ ДІЛАМ,Харківська міська організація,43317395,Харківська обл.,2024-09-30,3,2024
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA873515330000026000015908688,0.00,ДОВІРЯЙ ДІЛАМ,в Харківській області організація,43031979,Харківська обл.,2024-09-30,3,2024
"ПАТ ""МТБ БАНК""",Поточний рахунок,UA373281680000000026002178771,17.15,ДОВІРЯЙ ДІЛАМ,в Одеській області організація,26133326,Одеська обл.,2024-09-30,3,2024
"ПАТ ""МТБ БАНК""",Поточний рахунок,UA083281680000000026003178781,69414.97,ДОВІРЯЙ ДІЛАМ,Одеська міська організація,39938022,Одеська обл.,2024-09-30,3,2024
"ПАТ ""МТБ БАНК""",Поточний рахунок,UA663281680000000026001178761,544598.22,ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2024-09-30,3,2024
