Вид транспортного засобу,Марка/модель,Рік випуску,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Дата набуття речового права,Сума витрат на отримання речового права (грн),Дата втрати речового права,Дата відчуження,Вартість відчуження,Наявність обтяжень,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Вид речового права,Тип власника,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
Автомобілі легкові,А/м Тойота Чайзер,1996,Центральний офіс,20069956,"04080, м. Київ, вул. Турівська, буд. 15",2001-11-13,"34774,58",,,,обтяження відсутнє,,"4048,49",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016
Автомобілі легкові,"А/м Тойота Терсел ( Об""єм двигуна 1800 куб.см.)",1996,Центральний офіс,20069956,"04080, м. Київ, вул. Турівська, буд. 15",2002-09-05,"9372,93",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016
Автомобілі легкові,"А/м Тойота Терсел( Об""єм двигуна 1300 куб.см.)",1996,Центральний офіс,20069956,"04080, м. Київ, вул. Турівська, буд. 15",2006-06-06,"7057,36",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016
Автомобілі легкові,"А/м Тойота Терсел ( Об""єм двигуна 1300 куб.см.)",1996,Центральний офіс,20069956,"04080, м. Київ, вул. Турівська, буд. 15",2002-09-05,"6973,82",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016
Автомобілі легкові,"А/м Тойота Терсел( Об""єм двигуна 1300 куб.см.)",1996,Центральний офіс,20069956,"04080, м. Київ, вул. Турівська, буд. 15",2001-12-01,"6899,29",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016
Автомобілі легкові,"А/м Тойота Терсел ( Об""єм двигуна 1300 куб.см.)",1996,Центральний офіс,20069956,"04080, м. Київ, вул. Турівська, буд. 15",2002-09-05,"7140,69",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016
Автомобілі легкові,"А/м Тойота Камрі ( Об""єм двигуна 2995 куб.см.)",2005,Центральний офіс,20069956,"04080, м. Київ, вул. Турівська, буд. 15",2005-12-05,"93040,86",,,,обтяження відсутнє,,"12948,77",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016
Автомобілі легкові,"А/м Тойота Камрі ( Об""єм двигуна 2995 куб.см.)",2005,Центральний офіс,20069956,"04080, м. Київ, вул. Турівська, буд. 15",2005-12-02,"124762,27",,,,обтяження відсутнє,,"15812,19",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016
Автомобілі легкові,"А/м Тойота Ленд Крузер ( Об""єм двигуна 4664 куб.см.)",2005,Центральний офіс,20069956,"04080, м. Київ, вул. Турівська, буд. 15",2014-10-09,"119616,2",,,,обтяження відсутнє,,"15346,75",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016
Автомобілі легкові,"А/м Тойота Ленд Крузер ( Об""єм двигуна 4664 куб.см.)",2005,Центральний офіс,20069956,"04080, м. Київ, вул. Турівська, буд. 15",2005-12-05,91454,,,,обтяження відсутнє,,"12804,22",право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016
