Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,
"АТ ""Банк Велес""",поточний рахунок,260010012159,"180108,91","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016,
"ПУАТ ""Фідобанк""",поточний рахунок,26002000643903,"131,23","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016,
"АБ ""Укргазбанк""",поточний рахунок,26007212001988,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016,
"ПАТ ""Мегабанк""",поточний рахунок,2600426373,"1641,62","Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду,26439053700013,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду,26438051400555,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду,26433500624974,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016,
"АТ ""Райффайзен банк Аваль""",рахунок виборчого фонду,2643466,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду,26431501627832,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду,26433050202064,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду,26438054600001,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016,
"ПАТ ""Мегабанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,2604826373,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2016-12-31,5,2016,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26001000246569,0,"Всеукраїнське об'єднання ""Батьківщина""",Вінницька обласна організація,25511109,Вінницька область,2016-12-31,5,2016,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26000011969944,"8517,91","Всеукраїнське об'єднання ""Батьківщина""",Вінницька обласна організація,25511109,Вінницька область,2016-12-31,5,2016,
невідомо,поточний рахунок,2111303,0,"Всеукраїнське об'єднання ""Батьківщина""",Тульчинська районна організація,25962131,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду,26426055300600,"26,92","Всеукраїнське об'єднання ""Батьківщина""",Тульчинська районна організація,25962131,Вінницька область,2016-12-31,5,2016,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26005000001595,"1480,49","Всеукраїнське об'єднання ""Батьківщина""",Волинська обласна організація,25787544,Волинська область,2016-12-31,5,2016,
невідомо,поточний рахунок,2111271,0,"Всеукраїнське об'єднання ""Батьківщина""",Володимир-Волинська міська організація,25910016,Волинська область,2016-12-31,5,2016,
невідомо,поточний рахунок,2111272,0,"Всеукраїнське об'єднання ""Батьківщина""",Горохівська районна організація,25910068,Волинська область,2016-12-31,5,2016,
невідомо,поточний рахунок,211115,0,"Всеукраїнське об'єднання ""Батьківщина""",Камінь-Каширська районна організація,25910074,Волинська область,2016-12-31,5,2016,
невідомо,поточний рахунок,211116,0,"Всеукраїнське об'єднання ""Батьківщина""",Ківерцівська районна організація,25910080,Волинська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008055506469,"29,71","Всеукраїнське об'єднання ""Батьківщина""",Ковельська районна організація,25910097,Волинська область,2016-12-31,5,2016,
невідомо,поточний рахунок,211118,0,"Всеукраїнське об'єднання ""Батьківщина""",Локачинська районна організація,25909941,Волинська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007055517909,0,"Всеукраїнське об'єднання ""Батьківщина""",Луцька міська організація,25910022,Волинська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008055519865,"1714,17","Всеукраїнське об'єднання ""Батьківщина""",Луцька районна організація,25910105,Волинська область,2016-12-31,5,2016,
невідомо,поточний рахунок,2111274,0,"Всеукраїнське об'єднання ""Батьківщина""",Любешівська районна організація,36716987,Волинська область,2016-12-31,5,2016,
невідомо,поточний рахунок,211120,0,"Всеукраїнське об'єднання ""Батьківщина""",Любомльська районна організація,25909958,Волинська область,2016-12-31,5,2016,
невідомо,поточний рахунок,211121,0,"Всеукраїнське об'єднання ""Батьківщина""",Маневицька районна організація,25909964,Волинська область,2016-12-31,5,2016,
невідомо,поточний рахунок,211124,0,"Всеукраїнське об'єднання ""Батьківщина""",Ратнівська районна організація,25816276,Волинська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055512381,0,"Всеукраїнське об'єднання ""Батьківщина""",Рожищенська районна організація,25909970,Волинська область,2016-12-31,5,2016,
невідомо,поточний рахунок,211125,0,"Всеукраїнське об'єднання ""Батьківщина""",Старовижівська районна організація,25909987,Волинська область,2016-12-31,5,2016,
невідомо,поточний рахунок,211126,0,"Всеукраїнське об'єднання ""Батьківщина""",Турійська районна організація,25909993,Волинська область,2016-12-31,5,2016,
невідомо,поточний рахунок,211127,0,"Всеукраїнське об'єднання ""Батьківщина""",Шацька районна організація,25910000,Волинська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006050274753,0,"Всеукраїнське об'єднання ""Батьківщина""",Дніпровська міська організація,25841338,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003050016077,0,"Всеукраїнське об'єднання ""Батьківщина""",Амур-Нижньодніпровська районна організація,25841373,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003050277452,0,"Всеукраїнське об'єднання ""Батьківщина""",Чечелівська районна організація,25841433,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005050279016,0,"Всеукраїнське об'єднання ""Батьківщина""",Індустріальна районна організація,25841686,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009050011474,0,"Всеукраїнське об'єднання ""Батьківщина""",Новокодацька районна організація,25841440,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050272690,0,"Всеукраїнське об'єднання ""Батьківщина""",Соборна районна організація,25841396,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002050267720,0,"Всеукраїнське об'єднання ""Батьківщина""",Центральна районна організація,25841404,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007050261196,0,"Всеукраїнське об'єднання ""Батьківщина""",Шевченківська районна організація,25841386,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003050276969,0,"Всеукраїнське об'єднання ""Батьківщина""",Самарська районна організація,25841456,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004050270340,0,"Всеукраїнське об'єднання ""Батьківщина""",Заводська районна організація,25956805,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005050261660,0,"Всеукраїнське об'єднання ""Батьківщина""",Кам’янська міська організація,25841723,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003050273177,0,"Всеукраїнське об'єднання ""Батьківщина""",Південна районна організація,25956774,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009050272707,0,"Всеукраїнське об'єднання ""Батьківщина""",Дніпровська районна організація,26051242,Дніпропетровська область,2016-12-31,5,2016,
