Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,Примітки
"ПАТ ""МІБ""",поточний рахунок,26006020316815,"1335016,04","Блок Петра Порошенка ""Солідарність""",Центральний офіс,21715714,Україна,2019-03-31,1,2019,Поточний
"ПАТ ""МІБ""",поточний рахунок,26049010316815,0,"Блок Петра Порошенка ""Солідарність""",Центральний офіс,21715714,Україна,2019-03-31,1,2019,Соціальний
"ПАТ ""МІБ""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007030316815,"6521703,18","Блок Петра Порошенка ""Солідарність""",Центральний офіс,21715714,Україна,2019-03-31,1,2019,
"ПАТ ""Банк Восток""",поточний рахунок,26003010325274,"696,47","Блок Петра Порошенка ""Солідарність""",Одеська обласна організація,39607381,Одеська область,2019-03-31,1,2019,поточний рахунок
"ПАТ ""Банк Восток""",поточний рахунок,26047010325274,0,"Блок Петра Порошенка ""Солідарність""",Одеська обласна організація,39607381,Одеська область,2019-03-31,1,2019,рахунок для соцвиплат
"ПАТ ""МІБ""",поточний рахунок,26003010318161,"47969,27","Блок Петра Порошенка ""Солідарність""",Вінницька обласна організація,39508645,Вінницька область,2019-03-31,1,2019,поточний рахунок
"ПАТ ""МІБ""",поточний рахунок,26101020318161,143000,"Блок Петра Порошенка ""Солідарність""",Вінницька обласна організація,39508645,Вінницька область,2019-03-31,1,2019,депозитний рахунок
"ПАТ ""МІБ""",поточний рахунок,26047010318161,0,"Блок Петра Порошенка ""Солідарність""",Вінницька обласна організація,39508645,Вінницька область,2019-03-31,1,2019,поточний рахунок (ФСС)
"АБ ""Південний""",поточний рахунок,26006010004725,"4483,34","Блок Петра Порошенка ""Солідарність""",Волинська обласна організація,39402400,Волинська область,2019-03-31,1,2019,поточний
"АБ ""Південний""",поточний рахунок,26040010004725,0,"Блок Петра Порошенка ""Солідарність""",Волинська обласна організація,39402400,Волинська область,2019-03-31,1,2019,спецрахунок для ФСС
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26431055501514,0,"Блок Петра Порошенка ""Солідарність""",Волинська обласна організація,39402400,Волинська область,2019-03-31,1,2019,
"АТ ""Ощадбанк"" ",поточний рахунок,26006300913474,"4934,08","Блок Петра Порошенка ""Солідарність""",Донецька обласна організація,39645186,Донецька область,2019-03-31,1,2019,
"АТ ""Ощадбанк"" ",поточний рахунок,26040300913474,0,"Блок Петра Порошенка ""Солідарність""",Донецька обласна організація,39645186,Донецька область,2019-03-31,1,2019,лікарняні
"АТ ""Ощадбанк"" ",поточний рахунок,26000300890814,"1368,74","Блок Петра Порошенка ""Солідарність""",Житомирська обласна організація,39682762,Житомирська область,2019-03-31,1,2019,
"АТ ""Ощадбанк"" ",поточний рахунок,26044300890814,0,"Блок Петра Порошенка ""Солідарність""",Житомирська обласна організація,39682762,Житомирська область,2019-03-31,1,2019,Для соціальних виплат
"ПАТ ""Комінвестбанк""",поточний рахунок,26006015000808,"2827,01","Блок Петра Порошенка ""Солідарність""",Закарпатська обласна організація,39950317,Закарпатська область,2019-03-31,1,2019,поточний
"ПАТ ""Комінвестбанк""",поточний рахунок,26040015000808,0,"Блок Петра Порошенка ""Солідарність""",Закарпатська обласна організація,39950317,Закарпатська область,2019-03-31,1,2019,поточний для отримання цільових коштів
"АТ ""Укрексімбанк""",поточний рахунок,26045000008600,0,"Блок Петра Порошенка ""Солідарність""",Запорізька обласна організація,39434317,Запорізька область,2019-03-31,1,2019,спец/р фсс твп
"АТ ""Укрексімбанк""",поточний рахунок,26008000005026,"578,29","Блок Петра Порошенка ""Солідарність""",Запорізька обласна організація,39434317,Запорізька область,2019-03-31,1,2019,поточний
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26421055700432,8,"Блок Петра Порошенка ""Солідарність""",Запорізька обласна організація,39434317,Запорізька область,2019-03-31,1,2019,
"АТ ""Ощадбанк"" ",поточний рахунок,26003300980169,0,"Блок Петра Порошенка ""Солідарність""",Коломийська міська організація,39790251,Івано-Франківська область,2019-03-31,1,2019,
"АБ ""Укргазбанк""",поточний рахунок,26003924420903,"2643,46","Блок Петра Порошенка ""Солідарність""",Івано-Франківська обласна організація,39655372,Івано-Франківська область,2019-03-31,1,2019,поточний
