"Вид нерухомого майна","Місцезнаходження обʼєкта","Загальна площа (кв.м)","Реєстраційні дані","Дата набуття речового права","Сума витрат на отримання речового права (грн)","Дата припинення","ПІБ (для фіз. осіб)/Назва (для юр. осіб)","Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб)","Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб)","Дата відчуження","Вартість відчуження","Наявність обтяжень","Сума доходу за звітний період (оренда тощо)","Балансова вартість на кінець звітного періоду (грн)","Вид речового права","Тип власника","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний об'єкт","Дата","Квартал","Рік"
"Нежитлові офісні приміщення","м. Харків, вул. Короленка, буд. 12.","4,4","Дог. Оренди від 16.09.2019 р.","2019-09-16",,"2020-09-16","Сивак Андрій Юрійович",,"м. Харків",,,"обтяження відсутнє",,,"право користування","фізична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2019-09-30",3,2019
"Нежитлові офісні приміщення","м. Харків, вул. Короленка, буд. 12.","4,4","Дог. Оренди від 16.09.2019 р.","2019-09-16",,"2020-09-16","Сивак Андрій Юрійович",,"м. Харків",,,"обтяження відсутнє",,,"право користування","фізична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2019-12-31",4,2019
"Нежитлові офісні приміщення","м. Харків, вул. Короленка, буд. 12.","4,4","Дог. Оренди від 16.09.2019 р.","2019-09-16",,"2020-09-16","Сивак Андрій Юрійович",,"м. Харків",,,"обтяження відсутнє",,,"право користування","фізична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-03-31",1,2020
"Нежитлові офісні приміщення","м. Харків, вул. Скрипника, буд. 4","1545,3",25299184,"2020-01-01","4000000,0","2021-01-01","ТОВ “ВЕБЕРЗ”",34862373,"м. Харків, вул. Квітки-Основʼяненка, буд. 7",,,"обтяження відсутнє","70000,0","4000000,0","право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-03-31",1,2020
"Нежитлові офісні приміщення","м. Харків, вул. Короленка, буд. 12.","4,4","Дог. Оренди від 16.09.2019 р.","2019-09-16",,"2020-09-16","Сивак Андрій Юрійович",,"м. Харків",,,"обтяження відсутнє","1848,0",,"право користування","фізична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Кропивницький, вул. Декабристів 15","14,0",,"2020-04-16",,"2021-04-16","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Ужгород, вул. Шумна 25","15,0",,"2020-04-15",,"2021-04-15","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Чернівці, вул. Комарова 11","17,0",,"2020-04-16",,"2021-04-16","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Житомир, вул. Перемоги 3","13,0",,"2020-04-15",,"2021-04-15","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Херсон, вул. Лютеранська 24","15,0",,"2020-04-13",,"2021-04-13","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
