Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,Примітки
"АТ ""Ощадбанк""",поточний рахунок,411111,0,Блок Петра Порошенка,Білопільська районна організація,39813336,Сумська область,2016-12-31,5,2016,
"ПАТ ""МІБ""",поточний рахунок,26003010318161,"12964,93",Блок Петра Порошенка,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ ""МІБ""",поточний рахунок,26100010318161,143000,Блок Петра Порошенка,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,депозитний рахунок
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26432500377072,0,Блок Петра Порошенка,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26428055300181,0,Блок Петра Порошенка,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26422055300198,0,Блок Петра Порошенка,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26437055300730,0,Блок Петра Порошенка,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26430055300458,3,Блок Петра Порошенка,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"АБ ""Південний""",поточний рахунок,26006010004725,"7121,48",Блок Петра Порошенка,Волинська обласна організація,39402400,Волинська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,26005300484468,"1,1",Блок Петра Порошенка,Дніпропетровська обласна організація,39795490,Дніпропетровська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,29092300913474,0,Блок Петра Порошенка,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,рахунок для зарахування з/п
"АТ ""Ощадбанк""",поточний рахунок,26006300913474,"26698,34",Блок Петра Порошенка,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26431053600125,50,Блок Петра Порошенка,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26426053600679,0,Блок Петра Порошенка,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26424053600314,0,Блок Петра Порошенка,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26421053600782,0,Блок Петра Порошенка,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26421053601349,40,Блок Петра Порошенка,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,26000300890814,"29663,6",Блок Петра Порошенка,Житомирська обласна організація,39682762,Житомирська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26425055800775,0,Блок Петра Порошенка,Житомирська обласна організація,39682762,Житомирська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26437055800075,0,Блок Петра Порошенка,Житомирська обласна організація,39682762,Житомирська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26424055800527,"46,8",Блок Петра Порошенка,Житомирська обласна організація,39682762,Житомирська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26425055800872,"15,2",Блок Петра Порошенка,Житомирська обласна організація,39682762,Житомирська область,2016-12-31,5,2016,
"АТ ""Комінвестбанк""",поточний рахунок,26006015000808,"434,38",Блок Петра Порошенка,Закарпатська обласна організація,39950317,Закарпатська область,2016-12-31,5,2016,
"АТ ""Укрексімбанк""",поточний рахунок,2600501759900,"920,9",Блок Петра Порошенка,Запорізька обласна організація,39434317,Запорізька область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26426301327357,0,Блок Петра Порошенка,Запорізька обласна організація,39434317,Запорізька область,2016-12-31,5,2016,
"АБ ""Укргазбанк""",поточний рахунок,26003924420903,"75,3",Блок Петра Порошенка,Івано-Франківська обласна організація,39655372,Івано-Франківська область,2016-12-31,5,2016,
"АТ ""Укрсиббанк""",поточний рахунок,26007557484900,"31171,55",Блок Петра Порошенка,Івано-Франківська обласна організація,39655372,Івано-Франківська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26422052500245,30,Блок Петра Порошенка,Івано-Франківська обласна організація,39655372,Івано-Франківська область,2016-12-31,5,2016,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26008011649608,"1994,73",Блок Петра Порошенка,Київська міська організація,39154804,Київ,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,26004300956820,"34599,25",Блок Петра Порошенка,Київська обласна організація,39495516,Київська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002052912613,100,Блок Петра Порошенка,Кіровоградська обласна організація,39697790,Кіровоградська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005000691455,"19044,5",Блок Петра Порошенка,Кіровоградська обласна організація,39697790,Кіровоградська область,2016-12-31,5,2016,поточний депозит
"ПАТ КБ ""Приватбанк""",поточний рахунок,26107000247257,70000,Блок Петра Порошенка,Кіровоградська обласна організація,39697790,Кіровоградська область,2016-12-31,5,2016,строковий депозит
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26430052900822,"48,7",Блок Петра Порошенка,Кіровоградська обласна організація,39697790,Кіровоградська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,26003300980169,0,Блок Петра Порошенка,Коломийська міська організація,39790251,Івано-Франківська область,2016-12-31,5,2016,
"ПАТ ""Промислово-фінансовий банк""",поточний рахунок,26001424501,0,Блок Петра Порошенка,Кременчуцька міська організація,39957532,Полтавська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009053718941,"146,69",Блок Петра Порошенка,Луганська обласна організація,39825996,Луганська область,2016-12-31,5,2016,
"ПАТ ""МІБ""",поточний рахунок,26004010318212,"152231,28",Блок Петра Порошенка,Львівська обласна організація,39702118,Львівська область,2016-12-31,5,2016,розрахунковий
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26422302552328,0,Блок Петра Порошенка,Львівська обласна організація,39702118,Львівська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26421303552328,0,Блок Петра Порошенка,Львівська обласна організація,39702118,Львівська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26423301552328,0,Блок Петра Порошенка,Львівська обласна організація,39702118,Львівська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26424300552328,0,Блок Петра Порошенка,Львівська обласна організація,39702118,Львівська область,2016-12-31,5,2016,
"АТ ""Укрексімбанк""",поточний рахунок,26001001018134,"3286,73",Блок Петра Порошенка,Миколаївська обласна організація,26029188,Миколаївська область,2016-12-31,5,2016,
