Дата здійснення платежу з рахунку політичної партії,Найменування банку,Номер розрахункового документа,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Цільове призначення платежу,Код рядка,Сума (грн),Тип бенефіціара,Вид рахунку,Партія,Місцева організація,Код ЄДРПОУ осередку,Номер рахунку,Географічний об'єкт,Квартал,Рік
2019-05-29,"ПАТ ""Марфін банк""",1,"ПРАТ ""РТМК"" Тоніс-центр""",14059592,м. Харків,розміщ. в прямому ефірі телек. Трансляцію зїзду,111,"21312,0",юридична особа,поточний рахунок,ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,26001178761,Україна,2,2019
2019-05-29,"ПАТ ""Марфін банк""",1,"ПРАТ ""РТМК"" Тоніс-центр""",14059592,м. Харків,розміщ. в прямому ефірі телек. Трансляцію зїзду,111,"21312,0",юридична особа,поточний рахунок,ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,UA663281680000000026001178761,Україна,4,2019
2020-01-03,"ПАТ КБ ""Приватбанк""",AS9CSKCY9P,"ПАТ КБ ""Приватбанк""",14360570,"м. Київ, вул. Грушевського, буд. 1Д","Коміссія за обслуговування рахунку за грудень 2019 року,згідно договору банківського рахунку від 27.06.2019 року",381,"100,0",юридична особа,поточний рахунок,ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,UA943515330000026008052108205,Харківська область,1,2020
2020-01-15,"ПАТ КБ ""Приватбанк""",1FO2XBPHSY,"ПАТ КБ ""Приватбанк""",14360570,"м. Київ, вул. Грушевського, буд. 1Д","Комісія за виконання платежів в націон. валюті, згідно з відкритою офертою банку №б/н від 27.06.2019 та тарифів банку",381,"3,0",юридична особа,поточний рахунок,ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,UA943515330000026008052108205,Харківська область,1,2020
2020-02-03,"ПАТ КБ ""Приватбанк""",AS01VW22AP,"ПАТ КБ ""Приватбанк""",14360570,"м. Київ, вул. Грушевського, буд. 1Д","Коміссія за обслуговування рахунку за січень 2020 року,згідно договору банківського рахунку від 27.06.2019 року",381,"100,0",юридична особа,поточний рахунок,ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,UA943515330000026008052108205,Харківська область,1,2020
2020-02-11,"ПАТ КБ ""Приватбанк""",2BO30NSMQY,"ПАТ КБ ""Приватбанк""",14360570,"м. Київ, вул. Грушевського, буд. 1Д","Комісія за виконання платежів в націон. валюті, згідно з відкритою офертою банку №б/н від 27.06.2019 та тарифів банку",381,"3,0",юридична особа,поточний рахунок,ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,UA943515330000026008052108205,Харківська область,1,2020
2020-02-11,"ПАТ КБ ""Приватбанк""",2BO30NVKHY,"ПАТ КБ ""Приватбанк""",14360570,"м. Київ, вул. Грушевського, буд. 1Д","Комісія за виконання платежів в націон. валюті, згідно з відкритою офертою банку №б/н від 27.06.2019 та тарифів банку",381,"3,0",юридична особа,поточний рахунок,ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,UA943515330000026008052108205,Харківська область,1,2020
2020-02-11,"ПАТ КБ ""Приватбанк""",2BO30NWREY,"ПАТ КБ ""Приватбанк""",14360570,"м. Київ, вул. Грушевського, буд. 1Д","Комісія за виконання платежів в націон. валюті, згідно з відкритою офертою банку №б/н від 27.06.2019 та тарифів банку",381,"3,0",юридична особа,поточний рахунок,ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,UA943515330000026008052108205,Харківська область,1,2020
2020-03-02,"ПАТ КБ ""Приватбанк""",,"ПАТ КБ ""Приватбанк""",14360570,"м. Київ, вул. Грушевського, буд. 1Д","Коміссія за обслуговування рахунку за грудень 2019 року,згідно договору банківського рахунку від 27.06.2019 року",381,"0,18",юридична особа,поточний рахунок,ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,UA943515330000026008052108205,Харківська область,1,2020
2020-04-28,"ПАТ КБ ""Приватбанк""",LHJ6R00115,"ПАТ КБ ""Приватбанк""",14360570,"м. Київ, вул. Грушевського, буд. 1Д",Погашення заборгованності за розрах.-касове обслуг.зг.угоди РКО № б/н від 27.06.2019,381,"99,82",юридична особа,поточний рахунок,ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,UA943515330000026008052108205,Харківська область,2,2020
2020-04-29,"ПАТ КБ ""Приватбанк""",4TO39G56JY,"ПАТ КБ ""Приватбанк""",14360570,"м. Київ, вул. Грушевського, буд. 1Д","Комісія за виконання платежів в націон. валюті, згідно з відкритою офертою банку №б/н від 27.06.2019 та тарифів банку",381,"2,0",юридична особа,поточний рахунок,ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,UA943515330000026008052108205,Харківська область,2,2020
