Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об'єкт,Дата,Квартал,Рік
"ПАТ ""Марфін банк""",поточний рахунок,26001178761,"140,0",ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2019-03-31,1,2019
"ПАТ ""Марфін банк""",поточний рахунок,26001178761,"271510,05",ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2019-06-30,2,2019
"ПАТ ""Марфін банк""",поточний рахунок,26003178781,"587,2",ДОВІРЯЙ ДІЛАМ,Одеська міська організація,39938022,Одеська область,2019-06-30,2,2019
"ПАТ ""Марфін банк""",поточний рахунок,26002178771,"867,4",ДОВІРЯЙ ДІЛАМ,Одеська регіональна організація,26133326,Одеська область,2019-06-30,2,2019
"ПАТ ""Марфін банк""",поточний рахунок,26001178761,"261433,89",ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2019-09-30,3,2019
"ПАТ ""Марфін банк""",поточний рахунок,26003178781,"587,2",ДОВІРЯЙ ДІЛАМ,Одеська міська організація,39938022,Одеська область,2019-09-30,3,2019
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008052108205,"0,0",ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,Харківська область,2019-09-30,3,2019
"ПАТ ""Марфін банк""",поточний рахунок,26002178771,"867,4",ДОВІРЯЙ ДІЛАМ,Одеська регіональна організація,26133326,Одеська область,2019-09-30,3,2019
"ПАТ ""Марфін банк""",поточний рахунок,UA663281680000000026001178761,"169228,89",ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2019-12-31,4,2019
"ПАТ ""Марфін банк""",поточний рахунок,26003178781,"587,2",ДОВІРЯЙ ДІЛАМ,Одеська міська організація,39938022,Одеська область,2019-12-31,4,2019
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008052108205,"0,0",ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,Харківська область,2019-12-31,4,2019
"ПАТ ""Марфін банк""",поточний рахунок,26002178771,"867,4",ДОВІРЯЙ ДІЛАМ,Одеська регіональна організація,26133326,Одеська область,2019-12-31,4,2019
"ПАТ ""Марфін банк""",поточний рахунок,UA663281680000000026001178761,"156031,89",ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2020-03-31,1,2020
"ПАТ ""Марфін банк""",поточний рахунок,UA083281680000000026003178781,"587,2",ДОВІРЯЙ ДІЛАМ,Одеська міська організація,39938022,Одеська область,2020-03-31,1,2020
"ПАТ ""Марфін банк""",поточний рахунок,UA373281680000000026002178771,"867,4",ДОВІРЯЙ ДІЛАМ,Одеська регіональна організація,26133326,Одеська область,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA943515330000026008052108205,"0,0",ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,Харківська область,2020-03-31,1,2020
"ПАТ ""Марфін банк""",поточний рахунок,UA663281680000000026001178761,"128221,0",ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2020-06-30,2,2020
"ПАТ ""Марфін банк""",поточний рахунок,UA083281680000000026003178781,"587,2",ДОВІРЯЙ ДІЛАМ,Одеська міська організація,39938022,Одеська область,2020-06-30,2,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA943515330000026008052108205,"115,97",ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,Харківська область,2020-06-30,2,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA923515330000026008052150242,"0,0",ДОВІРЯЙ ДІЛАМ,Харківська міська організація,43317395,Харківська область,2020-06-30,2,2020
"ПАТ ""Марфін банк""",поточний рахунок,UA373281680000000026002178771,"867,4",ДОВІРЯЙ ДІЛАМ,Одеська регіональна організація,26133326,Одеська область,2020-06-30,2,2020
"ПАТ ""Марфін банк""",поточний рахунок,UA663281680000000026001178761,"330268,53",ДОВІРЯЙ ДІЛАМ,Центральний офіс,21676138,Україна,2020-09-30,3,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA943515330000026008052108205,"471,97",ДОВІРЯЙ ДІЛАМ,Харківська регіональна організація,43031979,Харківська область,2020-09-30,3,2020
"ПАТ ""Марфін банк""",поточний рахунок,UA083281680000000026003178781,"200795,2",ДОВІРЯЙ ДІЛАМ,Одеська міська організація,39938022,Одеська область,2020-09-30,3,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA923515330000026008052150242,"0,0",ДОВІРЯЙ ДІЛАМ,Харківська міська організація,43317395,Харківська область,2020-09-30,3,2020
"ПАТ ""Марфін банк""",поточний рахунок,UA373281680000000026002178771,"478097,4",ДОВІРЯЙ ДІЛАМ,Одеська регіональна організація,26133326,Одеська область,2020-09-30,3,2020
