Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"Фiлiя - Одеське обласне управлiння публічного акцiонерного товариства ""Державний ощадний банк України""",Поточний рахунок,UA063288450000026009300706617,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Подільська районна організація,43787260,Одеська обл.,2022-12-31,4,2022
"ПАТ АБ ""УКРГАЗБАНК""",Поточний рахунок,UA443204780000026008924893535,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Донецька обласна організація,43784212,Донецька обл.,2022-12-31,4,2022
АТ КБ «ПриватБанк»,Поточний рахунок,UA733052990000026003025109663,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Кіровоградська обласна організація,43808327,Кіровоградська обл.,2022-12-31,4,2022
"Філія ПАТ АБ ""УКРГАЗБАНК""",Поточний рахунок,UA553204780000026002924893638,3359.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Харківська обласна організація,43797551,Харківська обл.,2022-12-31,4,2022
"Філія - Івано-Франківське обласне управління публічного акціонерного товариства ""Державний ощадний банк ""України""",Поточний рахунок,UA023365030000026001301720502,2206.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Яремчанська міська організація,43810425,Івано-Франківська обл.,2022-12-31,4,2022
"філія-ПАТ АБ ""УКРГАЗБАНК""",Поточний рахунок,UA823204780000026005924891789,12550.52,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Вінницька обласна організація,43736745,Вінницька обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA313052990000026043046400947,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Житомирська обласна організація,43790933,Житомирська обл.,2022-12-31,4,2022
"Філія-Гол.упр.по м.Київ та Київській обл. ПАТ ""Державний ощадний банк України""",Поточний рахунок,UA763226690000026008300702713,86.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Київська обласна організація,43770079,Київська обл.,2022-12-31,4,2022
"Фiлiя - Полтавське обласне управлiння публічного акцiонерного товариства ""Державний ощадний банк України""",Поточний рахунок,UA023314670000026004300726984,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Лубенська міська організація,43803706,Полтавська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA773052990000026001041007086,149.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Львівська обласна організація,43814110,Львівська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA843266100000026002054108239,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Первомайська міська організація,43831309,Миколаївська обл.,2022-12-31,4,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA263052990000026006031701751,12710.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Первомайська міська організація,43831309,Миколаївська обл.,2022-12-31,4,2022
"АТ ""МЕГАБАНК""",Поточний рахунок,UA893516290000000026003161733,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Полтавська обласна організація,44524805,Полтавська обл.,2022-12-31,4,2022
"Фiлiя - Рiвненське обласне управлiння публічного акцiонерного товариства ""Державний ощадний банк України""",Поточний рахунок,UA483333680000026006300705799,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Рівненська обласна організація,43784736,Рівненська обл.,2022-12-31,4,2022
"Фiлiя - Хмельницьке обласне управлiння публічного акцiонерного товариства ""Державний ощадний банк України""",Поточний рахунок,UA203157840000026002300734834,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Хмельницька обласна організація,43779899,Хмельницька обл.,2022-12-31,4,2022
"Фiлiя - Закарпатське обласне управлiння публічного акцiонерного товариства ""Державний ощадний банк України""",Поточний рахунок,UA613123560000026002300713705,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Хустська міська організація,43777954,Закарпатська обл.,2022-12-31,4,2022
"Фiлiя - Закарпатське обласне управлiння публічного акцiонерного товариства ""Державний ощадний банк України""",Поточний рахунок,UA813123560000026004300712016,2569.50,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Хустська районна організація,43778116,Закарпатська обл.,2022-12-31,4,2022
"Філія-Головне управління по м.Києву та Київській області АТ ""ОЩАДБАНК""",Поточний рахунок,UA513226690000026007301704625,18740.07,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Центральний офіс,39610682,Україна,2022-12-31,4,2022
"Філія-Вінницьке обласне управління АТ ""Ощадбанк""",Поточний рахунок,UA643020760000026002300501478,145.42,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Центральний офіс,39610682,Україна,2022-12-31,4,2022
