Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об'єкт,Дата,Квартал,Рік
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA213007110000026008052601498,"1277,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Центральний офіс,39938258,Україна,2020-03-31,1,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA213007110000026008052601498,"1277,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Центральний офіс,39938258,Україна,2020-06-30,2,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA213007110000026008052601498,"1277,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Центральний офіс,39938258,Україна,2020-09-30,3,2020
"ПАТ ""Мегабанк""",поточний рахунок,UA773516290000000026003261859,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Центральний офіс,39938258,Україна,2020-09-30,3,2020
невідомо,поточний рахунок,7744398,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Житомирська обласна організація,40198970,Житомирська область,2020-09-30,3,2020
невідомо,поточний рахунок,7744399,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Донецька обласна організація,43632529,Донецька область,2020-09-30,3,2020
невідомо,поточний рахунок,7744400,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Запорізька обласна організація,40122477,Запорізька область,2020-09-30,3,2020
невідомо,поточний рахунок,7744401,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Кіровоградська обласна організація,39980163,Кіровоградська область,2020-09-30,3,2020
невідомо,поточний рахунок,7744402,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Дніпропетровська обласна організація,41284557,Дніпропетровська область,2020-09-30,3,2020
невідомо,поточний рахунок,7744403,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Волинська обласна організація,43804537,Волинська область,2020-09-30,3,2020
"ПАТ ""Мегабанк""",поточний рахунок,UA763516290000000002600514100,"1213063,11","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Харківська обласна організація,40153573,Харківська область,2020-09-30,3,2020
невідомо,поточний рахунок,7744406,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Закарпатська обласна організація,41730076,Закарпатська область,2020-09-30,3,2020
невідомо,поточний рахунок,7744407,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Одеська обласна організація,40271091,Одеська область,2020-09-30,3,2020
невідомо,поточний рахунок,7744408,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Рівненська обласна організація,40201878,Рівненська область,2020-09-30,3,2020
невідомо,поточний рахунок,7744409,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Черкаська обласна організація,40192324,Черкаська область,2020-09-30,3,2020
невідомо,поточний рахунок,7744410,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Чернівецька обласна організація,40181380,Чернівецька область,2020-09-30,3,2020
невідомо,поточний рахунок,7744411,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Львівська обласна організація,41393584,Львівська область,2020-09-30,3,2020
невідомо,поточний рахунок,7744412,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Полтавська обласна організація,40915548,Полтавська область,2020-09-30,3,2020
невідомо,поточний рахунок,7744413,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Луганська обласна організація,43681953,Луганська область,2020-09-30,3,2020
невідомо,поточний рахунок,7744414,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Сумська обласна організація,40269480,Сумська область,2020-09-30,3,2020
невідомо,поточний рахунок,7744415,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Хмельницька обласна організація,40267682,Хмельницька область,2020-09-30,3,2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA723052990000026003046213389,"1277,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Центральний офіс,39938258,Україна,2020-12-31,4,2020
"ПАТ ""Мегабанк""",поточний рахунок,UA773516290000000026003261859,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Центральний офіс,39938258,Україна,2020-12-31,4,2020
невідомо,поточний рахунок,7744399,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Донецька обласна організація,43632529,Донецька область,2020-12-31,4,2020
"ПАТ ""Мегабанк""",поточний рахунок,UA763516290000000002600514100,"1675803,01","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Харківська обласна організація,40153573,Харківська область,2020-12-31,4,2020
невідомо,поточний рахунок,7754399,"0,0","БЛОК СВІТЛИЧНОЇ ""РАЗОМ!""",Івано-Франківська обласна організація,40148081,Івано-Франківська область,2020-12-31,4,2020
