"Найменування банку","Вид рахунку","Номер рахунку","Сума коштів","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний обʼєкт","Дата","Квартал","Рік"
"невідомо","поточний рахунок",1111111111,0,"Перемога Пальчевського","Центральний офіс",39877693,"Україна","2020-06-30",2,2020
"АТ ""Кристалбанк""","поточний рахунок","UA953390500000026004001100460_1","310,8","Перемога Пальчевського","Центральний офіс",39877693,"Україна","2020-09-30",3,2020
"АТ ""Укрексімбанк""","поточний рахунок","UA853223130000026006000044852",0,"Перемога Пальчевського","Центральний офіс",39877693,"Україна","2020-09-30",3,2020
"ПАТ КБ ""Приватбанк""","поточний рахунок","UA843235830000026001052942673",150,"Перемога Пальчевського","Кіровоградська обласна організація ",40114377,"Кіровоградська область","2020-09-30",3,2020
"АТ ""Укрексімбанк""","поточний рахунок","UA883223130000026009000045375",21122,"Перемога Пальчевського","Івано-Франківська обласна організація ",40125923,"Івано-Франківська область","2020-09-30",3,2020
"ПАТ КБ ""Приватбанк""","поточний рахунок","UA953287040000026009054248260",5042,"Перемога Пальчевського","Одеська обласна організація ",40124055,"Одеська область","2020-09-30",3,2020
"ПАТ ""Мегабанк""","поточний рахунок","UA363516290000000002600401330",12678,"Перемога Пальчевського","Вінницька обласна організація ",40128002,"Вінницька область","2020-09-30",3,2020
"АБ ""Південний""","поточний рахунок","UA803282090000026008000012736","463,99","Перемога Пальчевського","Волинська обласна організація ",40123821,"Волинська область","2020-09-30",3,2020
"невідомо","поточний рахунок",1111111112,0,"Перемога Пальчевського","Дніпропетровська обласна організація ",40126948,"Дніпропетровська область","2020-09-30",3,2020
"ПАТ КБ ""Приватбанк""","поточний рахунок","UA533355480000026009053635931",158,"Перемога Пальчевського","Донецька обласна організація ",40116149,"Донецька область","2020-09-30",3,2020
"ПАТ КБ ""Приватбанк""","поточний рахунок","UA24311740000026003055846786",970,"Перемога Пальчевського","Житомирська обласна організація ",40136888,"Житомирська область","2020-09-30",3,2020
"невідомо","поточний рахунок",1111111113,0,"Перемога Пальчевського","Закарпатська обласна організація ",40124595,"Закарпатська область","2020-09-30",3,2020
"ПАТ ""ПУМБ""","поточний рахунок","UA813348510000000026000126405",2089,"Перемога Пальчевського","Запорізька обласна організація ",40119134,"Запорізька область","2020-09-30",3,2020
"АБ ""Укргазбанк""","поточний рахунок","UA283204780000026008924891883","189581,4","Перемога Пальчевського","Київська обласна організація ",40122964,"Київська область","2020-09-30",3,2020
"АТ ""Кристалбанк""","поточний рахунок","UA953390500000026004001100460","449555,84","Перемога Пальчевського","Київська міська організація ",40108190,"Київ","2020-09-30",3,2020
"ПАТ КБ ""Приватбанк""","поточний рахунок","UA843235830000026001052942673",150,"Перемога Пальчевського","Кіровоградська обласна організація ",40114377,"Кіровоградська область","2020-09-30",3,2020
"невідомо","поточний рахунок",1111111114,0,"Перемога Пальчевського","Луганська обласна організація ",40127805,"Луганська область","2020-09-30",3,2020
"невідомо","поточний рахунок",1111111115,0,"Перемога Пальчевського","Львівська обласна організація ",40118853,"Львівська область","2020-09-30",3,2020
"АТ ""Мотор-банк""","поточний рахунок","UA913130090000026002001029100","3341,48","Перемога Пальчевського","Миколаївська обласна організація ",40120946,"Миколаївська область","2020-09-30",3,2020
"АБ ""Південний""","поточний рахунок","UA883282090000026000000012767","1011,99","Перемога Пальчевського","Полтавська обласна організація ",40152407,"Полтавська область","2020-09-30",3,2020
"ПАТ КБ ""Приватбанк""","поточний рахунок","UA823333910000026001054740417",444,"Перемога Пальчевського","Рівненська обласна організація ",40111470,"Рівненська область","2020-09-30",3,2020
"невідомо","поточний рахунок",1111111116,0,"Перемога Пальчевського","Сумська обласна організація ",40137745,"Сумська область","2020-09-30",3,2020
"невідомо","поточний рахунок",1111111117,0,"Перемога Пальчевського","Тернопільська обласна організація ",40125939,"Тернопільська область","2020-09-30",3,2020
"АТ ""Кристалбанк""","поточний рахунок","UA363390500000026004001104723","930,88","Перемога Пальчевського","Харківська обласна організація ",40130650,"Харківська область","2020-09-30",3,2020
"АБ ""Укргазбанк""","поточний рахунок","UA173204780000026008924893245","4230,8","Перемога Пальчевського","Херсонська обласна організація ",40113017,"Херсонська область","2020-09-30",3,2020
"невідомо","поточний рахунок",1111111118,0,"Перемога Пальчевського","Хмельницька обласна організація ",40123748,"Хмельницька область","2020-09-30",3,2020
"АБ ""Південний""","поточний рахунок","UA153282090000026000000012723","4541,99","Перемога Пальчевського","Черкаська обласна організація ",40115737,"Черкаська область","2020-09-30",3,2020
"АТ ""Кристалбанк""","поточний рахунок","UA23339050000026005001105505","319,8","Перемога Пальчевського","Чернігівська обласна організація ",40122063,"Чернігівська область","2020-09-30",3,2020
"АТ ""Укрексімбанк""","поточний рахунок","UA543223130000026004000045187",5252,"Перемога Пальчевського","Чернівецька обласна організація ",40114843,"Чернівецька область","2020-09-30",3,2020
