Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
АТ КБ Приватбанк,рахунок нарахування відсотків,UA833052990000026180021000559,455.89,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ЛЬВІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25250005,Львівська обл.,2022-12-31,4,2022
АТ КБ Приватбанк,рахунок нарахування відсотків,UA193052990000026182011000943,0.00,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ЛЬВІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25250005,Львівська обл.,2022-12-31,4,2022
АТ КБ Приватбанк,Вкладний (депозитний) рахунок,UA933052990000026107031000748,0.00,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ЛЬВІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25250005,Львівська обл.,2022-12-31,4,2022
АТ КБ Приватбанк,Поточний рахунок,UA633052990000026002041002648,45980.64,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ЛЬВІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25250005,Львівська обл.,2022-12-31,4,2022
АТ КБ Приватбанк,Вкладний (депозитний) рахунок,UA803052990000026108001000788,160000.00,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ЛЬВІВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25250005,Львівська обл.,2022-12-31,4,2022
"АБ ""Укргазбанк""",Поточний рахунок,UA073204780000026008924444412,59.20,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ПОЛТАВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25784095,Полтавська обл.,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA693052990000026002040702422,0.00,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ВОЛОДИМИРЕЦЬКА РАЙОННА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25798140,Рівненська обл.,2022-12-31,4,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA123052990000026003030704945,1906.50,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,РІВНЕНСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25797494,Рівненська обл.,2022-12-31,4,2022
"АТ ""ПУМБ""",Поточний рахунок,UA893348510000000026007127236,0.00,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,МИКОЛАЇВСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,23400771,Миколаївська обл.,2022-12-31,4,2022
"Акціонерне товариство ""Державний експортно-імпортний банк України""",Поточний рахунок,UA323223130000026006000045709,1320.00,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,ЗАКАРПАТСЬКА ОБЛАСНА ОРГАНІЗАЦІЯ УКРАЇНСЬКОЇ НАРОДНОЇ ПАРТІЇ,25446487,Закарпатська обл.,2022-12-31,4,2022
АТ Укргазбанк,Поточний рахунок,UA603204780000026008001581384,377869.30,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,Центральний офіс,21710533,Україна,2022-12-31,4,2022
АТ Укргазбанк,картковий,UA133204780000026000924914832,367.74,УКРАЇНСЬКА НАРОДНА ПАРТІЯ,Центральний офіс,21710533,Україна,2022-12-31,4,2022
