Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
Філія Рівненське ОУ Ощадбанк,Поточний рахунок,UA593333680000026009300749343,6597.25,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Рівненська обласна організація політичної партії СИЛА І ЧЕСТЬ,33408779,Рівненська обл.,2024-12-31,4,2024
"ТВБВ№10024/080 філія-Чернігівське обласне управління АТ""Ощадбанк""",Поточний рахунок,№UA633535530000026003300691704,2237.58,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Чернігівська обласна організація політичної партії СИЛА І ЧЕСТЬ,34018288,Чернігівська обл.,2024-12-31,4,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA883052990000026007021605617,3.49,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Черкаська регіональна організація політичної партії СИЛА І ЧЕСТЬ,33363204,Черкаська обл.,2024-12-31,4,2024
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA703052990000026008021205685,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Полтавська обласна організація політичної партії СИЛА І ЧЕСТЬ,43822514,Полтавська обл.,2024-12-31,4,2024
ФХАРКІВСЬКЕ ОБЛАСНЕ У АТОЩАД м.Харків,Поточний рахунок,UA453518230000026002300736507,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Харківська обласна організація політичної партії СИЛА І ЧЕСТЬ,33291780,Харківська обл.,2024-12-31,4,2024
"АБ ""Південний""",Поточний рахунок,UA643282090000026003000012515,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Кіровоградська обласна організація політичної партії СИЛА І ЧЕСТЬ,33962971,Кіровоградська обл.,2024-12-31,4,2024
"АБ ""УКРГАЗБАНК""",Поточний рахунок,UA343204780000026001924893662,4862.54,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Волинська обласна організація політичної партії СИЛА І ЧЕСТЬ,33381532,Волинська обл.,2024-12-31,4,2024
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA333052990000026007050538506,1965.28,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Дніпропетровська обласна організація політичної партії СИЛА І ЧЕСТЬ,43820695,Дніпропетровська обл.,2024-12-31,4,2024
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA593052990000026002036400749,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Хмельницька обласна організація політичної партії Консервативно - демократична партія України СИЛА І ЧЕСТЬ,43795837,Хмельницька обл.,2024-12-31,4,2024
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA773052990000026008026401655,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Хмельницька обласна організація політичної партії Консервативно - демократична партія України СИЛА І ЧЕСТЬ,43795837,Хмельницька обл.,2024-12-31,4,2024
"АБ""УКРГАЗБАНК""",Поточний рахунок,UA653204780000026008924893836,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Івано-Франківська обласна організація політичної партії СИЛА І ЧЕСТЬ,34077542,Івано-Франківська обл.,2024-12-31,4,2024
АТ Ощадбанк,Поточний рахунок,UA643226690000026006300735492,8591.54,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Київська обласна організація політичної партії СИЛА І ЧЕСТЬ,43822100,Київська обл.,2024-12-31,4,2024
Приватбанк,Поточний рахунок,UA943052990000026006033302385,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Тернопільська регіональна організація політичної партії СИЛА І ЧЕСТЬ,33992655,Тернопільська обл.,2024-12-31,4,2024
Приватбанк,Соц. страх ,UA093052990000026046043301994,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Тернопільська регіональна організація політичної партії СИЛА І ЧЕСТЬ,33992655,Тернопільська обл.,2024-12-31,4,2024
"АБ ""УКРГАЗБАНК""",Поточний рахунок,UA553204780000026001924893963,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Чернівецька обласна організація політичної партії СИЛА І ЧЕСТЬ,33337064,Чернівецька обл.,2024-12-31,4,2024
"АТ ""Ощадбанк""",Поточний рахунок,UA833226690000026009301688170,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Київська міська організація політичної партії СИЛА І ЧЕСТЬ,43778002,м.Київ,2024-12-31,4,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA603052990000065104909045628,116213.35,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Житомирська обласна організація політичної партії СИЛА І ЧЕСТЬ,43817242,Житомирська обл.,2024-12-31,4,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA543052990000026045026401005,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Житомирська обласна організація політичної партії СИЛА І ЧЕСТЬ,43817242,Житомирська обл.,2024-12-31,4,2024
"Вінницька філія АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA603052990000026007026109152,10797.77,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,ВІННИЦЬКА ОБЛАСНА організація,33966173,Вінницька обл.,2024-12-31,4,2024
"Вінницька філія АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA323052990000026004046104271,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,ВІННИЦЬКА ОБЛАСНА організація,33966173,Вінницька обл.,2024-12-31,4,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA083052990000026002031025345,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Львівська обласна організація політичної партії СИЛА І ЧЕСТЬ,33981638,Львівська обл.,2024-12-31,4,2024
"АТ ""Ощадбанк""",Поточний рахунок,UA433226690000026006300663605,3623.26,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Центральний офіс,33308363,Україна,2024-12-31,4,2024
"АТ ""Укрексімбанк""",Поточний рахунок,UA473223130000026003000042534,9861.95,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Центральний офіс,33308363,Україна,2024-12-31,4,2024
"АТ ""Укрексімбанк""",Поточний рахунок,UA653223130000026002000042535,0.00,КОНСЕРВАТИВНО-ДЕМОКРАТИЧНА ПАРТІЯ УКРАЇНИ СИЛА І ЧЕСТЬ,Центральний офіс,33308363,Україна,2024-12-31,4,2024
