Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
Державний ощадний банк України ПАТ ФІЛІЯ Житомирське ОУ ТБВ № 10005/066,Поточний рахунок,UA133116470000026000300890814,1036.54,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ЖИТОМИРСЬКА ТЕРИТОРІАЛЬНА організація,39682762,Житомирська обл.,2022-03-31,1,2022
Державний ощадний банк України ПАТ ФІЛІЯ Житомирське ОУ ТБВ № 10005/066,Для соціальних виплат,UA703116470000026044300890814,0.00,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ЖИТОМИРСЬКА ТЕРИТОРІАЛЬНА організація,39682762,Житомирська обл.,2022-03-31,1,2022
АБ ПРИВАТБАНК,Поточний рахунок,UA063052990000026001001203347,0.00,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,Кременчуцька міська організація,39957532,Полтавська обл.,2022-03-31,1,2022
АБ Укргазбанк,Поточний рахунок,UA313204780000026000212002144,0.00,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ПОЛТАВСЬКА МІСЬКА організація,39962153,Полтавська обл.,2022-03-31,1,2022
АТ КБ Приватбанк,Поточний рахунок,UA583047950000026009053718941,580.42,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ЛУГАНСЬКА ТЕРИТОРІАЛЬНА організація,39825996,Луганська обл.,2022-03-31,1,2022
АТ КБ Приватбанк,Рахунок для соціальних виплат,UA173047950000026043053705040,0.00,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ЛУГАНСЬКА ТЕРИТОРІАЛЬНА організація,39825996,Луганська обл.,2022-03-31,1,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA973052990000026001016223129,23074.71,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ПОЛТАВСЬКА ТЕРИТОРІАЛЬНА організація,26090791,Полтавська обл.,2022-03-31,1,2022
АТ КБ ПРИВАТБАНК,Рахунок для соціальних виплат,UA873052990000026040006206054,0.00,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ПОЛТАВСЬКА ТЕРИТОРІАЛЬНА організація,26090791,Полтавська обл.,2022-03-31,1,2022
АБ УКРГАЗБАНК,Поточний рахунок,UA693204780000026045903291382,0.00,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ПОЛТАВСЬКА ТЕРИТОРІАЛЬНА організація,26090791,Полтавська обл.,2022-03-31,1,2022
АБ УКРГАЗБАНК,Рахунок для соціальних виплат,UA963204780000000026000279199,0.00,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ПОЛТАВСЬКА ТЕРИТОРІАЛЬНА організація,26090791,Полтавська обл.,2022-03-31,1,2022
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA623052990000026004006302109,3407.96,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ЧЕРНІГІВСЬКА ТЕРИТОРІАЛЬНА організація,39742680,Чернігівська обл.,2022-03-31,1,2022
АТ КБ ПРИВАТБАНК,Рахунок для соціальних виплат,UA323052990000026046006301124,0.00,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ЧЕРНІГІВСЬКА ТЕРИТОРІАЛЬНА організація,39742680,Чернігівська обл.,2022-03-31,1,2022
АБ Укргазбанк,Поточний рахунок,UA973204780000000026001266059,25322.90,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ХЕРСОНСЬКА ТЕРИТОРІАЛЬНА організація,39438699,Херсонська обл.,2022-03-31,1,2022
"Акціонерний банк ""Південний""",Поточний рахунок,UA453282090000026006010004725,20752.54,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ВОЛИНСЬКА ТЕРИТОРІАЛЬНА організація,39402400,Волинська обл.,2022-03-31,1,2022
"Акціонерний банк ""Південний""",Рахунок для соціальних виплат,UA673282090000026040010004725,0.00,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,ВОЛИНСЬКА ТЕРИТОРІАЛЬНА організація,39402400,Волинська обл.,2022-03-31,1,2022
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA853375460000026009055016910,10467.90,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,СУМСЬКА ТЕРИТОРІАЛЬНА організація,39587135,Сумська обл.,2022-03-31,1,2022
"АТ КБ ""ПРИВАТБАНК""",Рахунок для соцiальних виплат,UA353375460000026042055006794,0.00,ЄВРОПЕЙСЬКА СОЛІДАРНІСТЬ,СУМСЬКА ТЕРИТОРІАЛЬНА організація,39587135,Сумська обл.,2022-03-31,1,2022
