Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA813052990000026428011600041,0.00,СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА,ЧЕРКАСЬКА ОБЛАСНА організація,41085740,м.Київ,2021-03-31,1,2021
АТ БАНК АЛЬЯНС,Поточний рахунок,UA123001190000035707029935001,4675.66,СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА,Центральний офіс,40314784,Україна,2021-03-31,1,2021
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA813052990000026428011600041,0.00,СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА,ЧЕРКАСЬКА ОБЛАСНА організація,41085740,м.Київ,2021-12-31,4,2021
АТ БАНК АЛЬЯНС,Поточний рахунок,UA123001190000035707029935001,4675.66,СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА,Центральний офіс,40314784,Україна,2021-12-31,4,2021
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA813052990000026428011600041,0.00,СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА,ЧЕРКАСЬКА ОБЛАСНА організація,41085740,м.Київ,2021-12-31,4,2021
АТ БАНК АЛЬЯНС,Поточний рахунок,UA123001190000035707029935001,4675.66,СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА,Центральний офіс,40314784,Україна,2021-12-31,4,2021
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA813052990000026428011600041,0.00,СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА,ЧЕРКАСЬКА ОБЛАСНА організація,41085740,м.Київ,2021-09-30,3,2021
АТ БАНК АЛЬЯНС,Поточний рахунок,UA123001190000035707029935001,4675.66,СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА,Центральний офіс,40314784,Україна,2021-09-30,3,2021
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA813052990000026428011600041,0.00,СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА,ЧЕРКАСЬКА ОБЛАСНА організація,41085740,м.Київ,2021-06-30,2,2021
АТ БАНК АЛЬЯНС,Поточний рахунок,UA123001190000035707029935001,4675.66,СОЦІАЛІСТИЧНА ПАРТІЯ ОЛЕКСАНДРА МОРОЗА,Центральний офіс,40314784,Україна,2021-06-30,2,2021
