Вид транспортного засобу,Марка/модель,Рік випуску,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Дата набуття речового права,Сума витрат на отримання речового права (грн),Дата втрати речового права,Дата відчуження,Вартість відчуження,Наявність обтяжень,Сума доходу (грн),Балансова вартість на кінець звітного періоду (грн),Вид речового права,Тип власника,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
Автомобілі легкові,А/м Тойота Чайзер,1996,,,,2001-11-13,"34774,58",,,,обтяження відсутнє,,2000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Тойота Терсел (Обʼєм двигуна 1800 куб.см.),1996,,,,2002-02-09,"9372,93",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Тойота Терсел (Обʼєм двигуна 1300 куб.см.),1996,,,,2006-06-06,"7057,36",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Тойота Терсел (Обʼєм двигуна 1300 куб.см.),1996,,,,2002-09-05,"6973,82",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Тойота Терсел (Обʼєм двигуна 1300 куб.см.),1996,,,,2001-12-01,"6899,29",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Тойота Терсел (Обʼєм двигуна 1300 куб.см.),1996,,,,2003-04-24,"7140,69",,,,обтяження відсутнє,,500,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Тойота Камрі (Обʼєм двигуна 2995 куб.см.),2005,,,,2005-12-02,"93040,86",,,,обтяження відсутнє,,5000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Тойота Камрі (Обʼєм двигуна 2995 куб.см.),2005,,,,2005-12-02,"124762,27",,,,обтяження відсутнє,,5000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Тойота Ленд Крузер (Обʼєм двигуна 4664 куб.см.),2005,,,,2014-10-09,"119616,2",,,,обтяження відсутнє,,5000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Тойота Ленд Крузер (Обʼєм двигуна 4664 куб.см.),2005,,,,2005-12-05,91454,,,,обтяження відсутнє,,5000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Шкода Октавія Тур (Обʼєм двигуна 1598 куб.см.),2006,,,,2006-08-22,93291,,,,обтяження відсутнє,,2000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Шкода Октавія Тур (Обʼєм двигуна 1598 куб.см.),2006,,,,2006-08-22,93291,,,,обтяження відсутнє,,2000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Шкода Октавія Тур (Обʼєм двигуна 1598 куб.см.),2006,,,,2006-08-22,93291,,,,обтяження відсутнє,,2000,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
Автомобілі легкові,А/м Фольксваген Транспортер (Обʼєм двигуна 1984 куб.см.),2007,,,,2007-10-05,176750,,,,обтяження відсутнє,,25925,право власності,партійний осередок,"Всеукраїнське об'єднання ""Батьківщина""",Центральний офіс,20069956,Україна,2018-03-31,1,2018
