Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Сума (вартість) на кінець звітного періоду грн,Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
Орендна плата за суборенду частини приміщення 3 кв.м. ,05.12.2017,1800,Товариство з обмеженою відповідальністю «КИЇВ БІЗНЕС ДЕВЕЛОПМЕНТ»,40681039,"м. Київ, пров. Руслана Лужевського, буд. 14",0,Юридична особа,ЄДИНА ГРОМАДА,Центральний офіс,39928255,Київ,4,2021
Орендна плата за суборенду частини приміщення 3 кв.м. ,05.06.2018,1800,Товариство з обмеженою відповідальністю «КИЇВ БІЗНЕС ДЕВЕЛОПМЕНТ»,40681039,"м. Київ, пров. Руслана Лужевського, буд. 14",0,Юридична особа,ЄДИНА ГРОМАДА,Центральний офіс,39928255,Київ,4,2021
Орендна плата за суборенду частини приміщення 3 кв.м.,05.12.2018,1800,Товариство з обмеженою відповідальністю «КИЇВ БІЗНЕС ДЕВЕЛОПМЕНТ»,40681039,"м. Київ, пров. Руслана Лужевського, буд. 14",0,Юридична особа,ЄДИНА ГРОМАДА,Центральний офіс,39928255,Київ,4,2021
Орендна плата за суборенду частини приміщення 3 кв.м.,27.06.2019,2100,Товариство з обмеженою відповідальністю «КИЇВ БІЗНЕС ДЕВЕЛОПМЕНТ»,40681039,"м. Київ, пров. Руслана Лужевського, буд. 14",0,Юридична особа,ЄДИНА ГРОМАДА,Центральний офіс,39928255,Київ,4,2021
Орендна плата за суборенду частини приміщення 3 кв.м. ,05.12.2017,1800,Товариство з обмеженою відповідальністю «КИЇВ БІЗНЕС ДЕВЕЛОПМЕНТ»,40681039,"м. Київ, пров. Руслана Лужевського, буд. 14",1800,Юридична особа,ЄДИНА ГРОМАДА,Центральний офіс,39928255,Київ,3,2021
Орендна плата за суборенду частини приміщення 3 кв.м. ,05.06.2018,1800,Товариство з обмеженою відповідальністю «КИЇВ БІЗНЕС ДЕВЕЛОПМЕНТ»,40681039,"м. Київ, пров. Руслана Лужевського, буд. 14",1800,Юридична особа,ЄДИНА ГРОМАДА,Центральний офіс,39928255,Київ,3,2021
Орендна плата за суборенду частини приміщення 3 кв.м.,05.12.2018,1800,Товариство з обмеженою відповідальністю «КИЇВ БІЗНЕС ДЕВЕЛОПМЕНТ»,40681039,"м. Київ, пров. Руслана Лужевського, буд. 14",1800,Юридична особа,ЄДИНА ГРОМАДА,Центральний офіс,39928255,Київ,3,2021
Орендна плата за суборенду частини приміщення 3 кв.м.,27.06.2019,2100,Товариство з обмеженою відповідальністю «КИЇВ БІЗНЕС ДЕВЕЛОПМЕНТ»,40681039,"м. Київ, пров. Руслана Лужевського, буд. 14",2100,Юридична особа,ЄДИНА ГРОМАДА,Центральний офіс,39928255,Київ,3,2021
Орендна плата за суборенду частини приміщення 3 кв.м. ,05.12.2017,1800,Товариство з обмеженою відповідальністю «КИЇВ БІЗНЕС ДЕВЕЛОПМЕНТ»,40681039,"м. Київ, пров. Руслана Лужевського, буд. 14",1800,Юридична особа,ЄДИНА ГРОМАДА,Центральний офіс,39928255,Київ,2,2021
Орендна плата за суборенду частини приміщення 3 кв.м. ,05.06.2018,1800,Товариство з обмеженою відповідальністю «КИЇВ БІЗНЕС ДЕВЕЛОПМЕНТ»,40681039,"м. Київ, пров. Руслана Лужевського, буд. 14",1800,Юридична особа,ЄДИНА ГРОМАДА,Центральний офіс,39928255,Київ,2,2021
Орендна плата за суборенду частини приміщення 3 кв.м.,05.12.2018,1800,Товариство з обмеженою відповідальністю «КИЇВ БІЗНЕС ДЕВЕЛОПМЕНТ»,40681039,"м. Київ, пров. Руслана Лужевського, буд. 14",1800,Юридична особа,ЄДИНА ГРОМАДА,Центральний офіс,39928255,Київ,2,2021
Орендна плата за суборенду частини приміщення 3 кв.м.,27.06.2019,2100,Товариство з обмеженою відповідальністю «КИЇВ БІЗНЕС ДЕВЕЛОПМЕНТ»,40681039,"м. Київ, пров. Руслана Лужевського, буд. 14",2100,Юридична особа,ЄДИНА ГРОМАДА,Центральний офіс,39928255,Київ,2,2021
