Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,
"АТ ""Укрсиббанк""",поточний рахунок,26006530146200,"101523,78","Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2018-03-31,1,2018,поточний
"АБ ""Укргазбанк""",поточний рахунок,26045903290725,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2018-03-31,1,2018,соцстрах
"АБ ""Укргазбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008924418040,"9208582,22","Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2018-03-31,1,2018,
невідомо,поточний рахунок,3111113,0,"Обʼєднання ""Самопоміч""",Андрушівська районна організація,39932916,Житомирська область,2018-03-31,1,2018,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003055805103,0,"Обʼєднання ""Самопоміч""",Баранівська районна організація,39915995,Житомирська область,2018-03-31,1,2018,
"АТ ""Ощадбанк""",поточний рахунок,26000171311565,"21,89","Обʼєднання ""Самопоміч""",Барська районна організація,39919455,Вінницька область,2018-03-31,1,2018,
"АТ ""Ощадбанк""",поточний рахунок,26008301906419,0,"Обʼєднання ""Самопоміч""",Бердичівська міська організація,40012509,Житомирська область,2018-03-31,1,2018,
невідомо,поточний рахунок,311111,0,"Обʼєднання ""Самопоміч""",Бердичівська районна організація,39915010,Житомирська область,2018-03-31,1,2018,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001055325259,"10929,58","Обʼєднання ""Самопоміч""",Вінницька міська організація,39916686,Вінницька область,2018-03-31,1,2018,
"АБ ""Укргазбанк""",поточний рахунок,26009924419253,0,"Обʼєднання ""Самопоміч""",Вінницька міська організація,39916686,Вінницька область,2018-03-31,1,2018,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007055327455,"431,54","Обʼєднання ""Самопоміч""",Вінницька обласна організація,39983473,Вінницька область,2018-03-31,1,2018,
