Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Сума (вартість) на кінець звітного періоду грн,Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
Орендна плата за офісне приміщення,31.08.2016,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22. к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,30.09.2016,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22. к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.10.2016,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22. к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Консультаційні послуги,31.10.2016,300.0,"ТОВ ""Аудиторська компанія ""Українська консалтингова група""",34427368,"м. Київ, вул. Генерала Алмазова, буд. 18/7, кім. 418",150.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Оренда плата за офісне приміщення,30.11.2016,303.0,"АТ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Консультаційні послуги,30.11.2016,300.0,"ТОВ ""Аудиторська компанія ""Українська консалтингова група""",34427368,"м. Київ, вул. Генерала Алмазова, буд. 18/7, кім. 418",300.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.12.2016,303.0,"АТ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Консультаційні послуги,30.12.2016,300.0,"ТОВ ""Аудиторська компанія"" Українська консалтингова група""",34427368,"м. Київ, вул. Генерала Алмазова, буд. 18/7, кім. 418",300.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.01.2017,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,28.02.2017,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.03.2017,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,30.04.2017,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.05.2017,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,30.06.2017,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.07.2017,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.08.2017,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,30.09.2017,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.10.2017,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Юридичні послуги,02.11.2017,27430.0,"АО""Національна Правова палата""",35083798,"м. Київ, вул. Бажова, буд. 9",11167.96,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,30.11.2017,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.12.2017,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.01.2018,303.0,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",303.0,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,28.02.2018,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.03.2018,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,30.04.2018,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.05.2018,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,30.06.2018,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.07.2018,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.08.2018,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,30.09.2018,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.10.2018,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,30.11.2018,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.12.2018,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,31.01.2019,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
Орендна плата за офісне приміщення,28.02.2019,400.01,"АТ ""Укрнадрапромінвест""",24281989,"м. Харків, пр.-т Науки, 22, к. 1",400.01,Юридична особа,СОЦІАЛІСТИЧНА УКРАЇНА,Центральний офіс,33291360,Київ,1,2021
