Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,
"АТ ""Місто банк""",поточний рахунок,26008001030506,"6894,2",Опозиційний блок,Центральний офіс,37120464,Україна,2016-12-31,5,2016,
"ПАТ ""ПУМБ""",поточний рахунок,260058463,"7782,59",Опозиційний блок,Центральний офіс,37120464,Україна,2016-12-31,5,2016,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26007011076294,6132,Опозиційний блок,Центральний офіс,37120464,Україна,2016-12-31,5,2016,чому немає держфінансування?
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26438053700940,0,Опозиційний блок,Центральний офіс,37120464,Україна,2016-12-31,5,2016,поточний ВФ кандидата в ОВО №114
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26430054602386,0,Опозиційний блок,Центральний офіс,37120464,Україна,2016-12-31,5,2016,поточний ВФ кандидата в ОВО № 151
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26432500625178,0,Опозиційний блок,Центральний офіс,37120464,Україна,2016-12-31,5,2016,поточний ВФ кандидата в ОВО № 183
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26432051400023,0,Опозиційний блок,Центральний офіс,37120464,Україна,2016-12-31,5,2016,поточний ВФ кандидата в ОВО № 206
"ПАТ ""ПУМБ""",поточний рахунок,2600815360,"63,8",Опозиційний блок,Вінницька обласна організація,37618150,Вінницька область,2016-12-31,5,2016,
"ПАТ ""ПУМБ""",поточний рахунок,2600813320,"28601,71",Опозиційний блок,Дніпропетровська обласна організація,39750015,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26437050000897,181,Опозиційний блок,Дніпропетровська обласна організація,39750015,Дніпропетровська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007053610066,0,Опозиційний блок,Донецька обласна організація,39751914,Донецька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008055807991,"2985,36",Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26425055800292,0,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2016-12-31,5,2016,Накопичувальний Поточний (Баранівський р-н)
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26424055800970,0,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2016-12-31,5,2016,Накопичувал ьний Поточний  (Коростишівський р-н)
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26428055800943,0,Опозиційний блок,Житомирська обласна організація,39929086,Житомирська область,2016-12-31,5,2016,Накопичувальний Поточний (Олевський р-н)
"ПАТ ""Комінвестбанк""",поточний рахунок,26003016000800,0,Опозиційний блок,Закарпатська обласна організація,38222036,Закарпатська область,2016-12-31,5,2016,
"ПАТ ""ПУМБ""",поточний рахунок,2600612837,"63364,53",Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26429300327247,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2016-12-31,5,2016,накопичувальний
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26428301327247,0,Опозиційний блок,Запорізька обласна організація,37526809,Запорізька область,2016-12-31,5,2016,ПОТОЧНИЙ
"ПАТ ""ПУМБ""",поточний рахунок,2600115305,0,Опозиційний блок,Івано-Франківська обласна організація,39711819,Івано-Франківська область,2016-12-31,5,2016,
"АТ ""Місто банк""",поточний рахунок,26006001030575,"25156,28",Опозиційний блок,Київська обласна організація,39756467,Київська область,2016-12-31,5,2016,
"АБ ""Південний""",поточний рахунок,26000010007869,5007,Опозиційний блок,Кіровоградська обласна організація,39662568,Кіровоградська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,26008301680625,"48383,95",Опозиційний блок,Луганська обласна організація,39697428,Луганська область,2016-12-31,5,2016,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26003011699073,"212,26",Опозиційний блок,Львівська обласна організація,37613126,Львівська область,2016-12-31,5,2016,
