Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,Примітки
"ПАТ ""МІБ""",поточний рахунок,26006020316815,"104851,06",Європейська солідарність,Центральний офіс,21715714,Україна,2016-12-31,5,2016,
"ПАТ ""МІБ""",поточний рахунок,26102010316815,860000,Європейська солідарність,Центральний офіс,21715714,Україна,2016-12-31,5,2016,депозитний
"ПАТ ""Діамантбанк""",рахунок виборчого фонду політичної партії,26433500000023,0,Європейська солідарність,Центральний офіс,21715714,Україна,2016-12-31,5,2016,"поточний, округ № 206"
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26431053700237,0,Європейська солідарність,Центральний офіс,21715714,Україна,2016-12-31,5,2016,"поточний, округ № 114"
"АБ ""Південний""",рахунок виборчого фонду політичної партії,26438050015201,0,Європейська солідарність,Центральний офіс,21715714,Україна,2016-12-31,5,2016,"поточний,округ № 23"
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26436052500673,0,Європейська солідарність,Центральний офіс,21715714,Україна,2016-12-31,5,2016,"поточний, округ № 85"
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26434052200728,0,Європейська солідарність,Центральний офіс,21715714,Україна,2016-12-31,5,2016,"поточний, округ № 183"
"ПАТ ""МІБ""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007030316815,0,Європейська солідарність,Центральний офіс,21715714,Україна,2016-12-31,5,2016,
"АБ ""Укргазбанк""",поточний рахунок,26004924417302,0,Європейська солідарність,Білопільська районна організація,39813336,Сумська область,2016-12-31,5,2016,
"ПАТ ""МІБ""",поточний рахунок,26003010318161,"12964,93",Європейська солідарність,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ ""МІБ""",поточний рахунок,26100010318161,143000,Європейська солідарність,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,депозитний
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26430055300458,3,Європейська солідарність,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26428055300181,0,Європейська солідарність,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26422055300198,0,Європейська солідарність,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26437055300730,0,Європейська солідарність,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26432500377072,0,Європейська солідарність,Вінницька обласна організація,39508645,Вінницька область,2016-12-31,5,2016,
"АБ ""Південний""",поточний рахунок,26006010004725,"7121,48",Європейська солідарність,Волинська обласна організація,39402400,Волинська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,26005300484468,"1,1",Європейська солідарність,Дніпропетровська обласна організація,39795490,Дніпропетровська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,26006300913474,"26698,34",Європейська солідарність,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,29092300913474,0,Європейська солідарність,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,рахунок для зарахування з/п
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26426053600679,0,Європейська солідарність,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26424053600314,0,Європейська солідарність,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26421053601349,40,Європейська солідарність,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26421053600782,40,Європейська солідарність,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26431053600125,50,Європейська солідарність,Донецька обласна організація,39645186,Донецька область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,26000300890814,"29663,6",Європейська солідарність,Житомирська обласна організація,39682762,Житомирська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26425055800872,"15,2",Європейська солідарність,Житомирська обласна організація,39682762,Житомирська область,2016-12-31,5,2016,Накопичувальний
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26424055800527,"46,8",Європейська солідарність,Житомирська обласна організація,39682762,Житомирська область,2016-12-31,5,2016,Накопичувальний
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26425055800775,0,Європейська солідарність,Житомирська обласна організація,39682762,Житомирська область,2016-12-31,5,2016,Накопичувальний
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26437055800075,0,Європейська солідарність,Житомирська обласна організація,39682762,Житомирська область,2016-12-31,5,2016,Накопичувальний
"ПАТ ""Комінвестбанк""",поточний рахунок,26006015000808,"434,38",Європейська солідарність,Закарпатська обласна організація,39950317,Закарпатська область,2016-12-31,5,2016,
"АТ ""Укрексімбанк""",поточний рахунок,2600501759900,"920,9",Європейська солідарність,Запорізька обласна організація,39434317,Запорізька область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26426301327357,0,Європейська солідарність,Запорізька обласна організація,39434317,Запорізька область,2016-12-31,5,2016,
"АТ ""Укрсиббанк""",поточний рахунок,26007557484900,"31171,55",Європейська солідарність,Івано-Франківська обласна організація,39655372,Івано-Франківська область,2016-12-31,5,2016,
"АБ ""Укргазбанк""",поточний рахунок,26003924420903,"75,3",Європейська солідарність,Івано-Франківська обласна організація,39655372,Івано-Франківська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26422052500245,30,Європейська солідарність,Івано-Франківська обласна організація,39655372,Івано-Франківська область,2016-12-31,5,2016,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26008011649608,"1994,73",Європейська солідарність,Київська міська організація,39154804,Київ,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,26004300956820,"34599,25",Європейська солідарність,Київська обласна організація,39495516,Київська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002052912613,100,Європейська солідарність,Кіровоградська обласна організація,39697790,Кіровоградська область,2016-12-31,5,2016,
