"Найменування банку","Вид рахунку","Номер рахунку","Сума коштів","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний об'єкт","Дата","Квартал","Рік"
"невідомо","поточний рахунок",11144444,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Центральний офіс",39358268,"Україна","2020-06-30",2,2020
"невідомо","поточний рахунок",11144445,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Вінницька обласна організація",39617473,"Вінницька область","2020-06-30",2,2020
"невідомо","поточний рахунок",11144446,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Дніпропетровська міська організація",39895309,"Дніпропетровська область","2020-06-30",2,2020
"невідомо","поточний рахунок",11144447,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Дніпропетровська обласна організація",39585410,"Дніпропетровська область","2020-06-30",2,2020
"невідомо","поточний рахунок",11144448,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Житомирська обласна організація",39602729,"Житомирська область","2020-06-30",2,2020
"невідомо","поточний рахунок",11144449,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Запорізька обласна організація",39648999,"Запорізька область","2020-06-30",2,2020
"невідомо","поточний рахунок",11144450,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Зміївська районна організація",39986799,"Харківська область","2020-06-30",2,2020
"невідомо","поточний рахунок",11144451,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Київська міська організація",39606346,"Київ","2020-06-30",2,2020
"невідомо","поточний рахунок",11144452,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Київська обласна організація",39632561,"Київська область","2020-06-30",2,2020
"невідомо","поточний рахунок",11144453,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Кіровоградська обласна організація",39611178,"Кіровоградська область","2020-06-30",2,2020
"невідомо","поточний рахунок",11144454,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Львівська обласна організація",39632596,"Львівська область","2020-06-30",2,2020
"невідомо","поточний рахунок",11144455,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Миколаївська обласна організація",39648894,"Миколаївська область","2020-06-30",2,2020
"невідомо","поточний рахунок",11144456,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Одеська обласна організація",39680262,"Одеська область","2020-06-30",2,2020
"невідомо","поточний рахунок",11144457,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Тернопільська обласна організація",39614582,"Тернопільська область","2020-06-30",2,2020
"невідомо","поточний рахунок",11144458,"0,0","БЛОК ВІЛКУЛА ""УКРАЇНСЬКА ПЕРСПЕКТИВА""","Харківська районна організація",40009213,"Харківська область","2020-06-30",2,2020
