Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об'єкт,Дата,Квартал,Рік
"АТ ""Укрексімбанк""",поточний рахунок,UA473223130000026003000042534,622595.84,Сила і честь,Центральний офіс,33308363,Україна,31.12.2020  02:52:48,4,2020
"АТ ""Ощадбанк""",поточний рахунок,UA433226690000026006300663605,3823.26,Сила і честь,Центральний офіс,33308363,Україна,31.12.2020  02:52:48,4,2020
КФ АТ «Місто банк»,поточний рахунок,№UA333805930000026006001030821,140274.23,Сила і честь,Київська міська організація,43778002,Київська область,31.12.2020  02:52:48,4,2020
"АТ ""Ощадбанк""",поточний рахунок,№UA633535530000026003300691704,8599.34,Сила і честь,Чернігівська обласна організація,34018288,Чернігівська область,31.12.2020  02:52:48,4,2020
"АБ ""Укргазбанк""",поточний рахунок,UA343204780000026001924893662,260439.2,Сила і честь,Волинська обласна організація,33381532,Волинська область,31.12.2020  02:52:48,4,2020
"АБ ""Укргазбанк""",поточний рахунок,UA653204780000026008924893836,1277.03,Сила і честь,Івано-Франківська обласна організація,34077542,Івано-Франківська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,№UA393026890000026007055372143,125919.77,Сила і честь,Вінницька регіональна організація,33966173,Вінницька область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA443026890000026421055300456,0,Сила і честь,Вінницька регіональна організація,33966173,Вінницька область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA123026890000026426055300086,0,Сила і честь,Вінницька регіональна організація,33966173,Вінницька область,31.12.2020  02:52:48,4,2020
"УП АТ ""Ощадбанк""",поточний рахунок,№UA453518230000026002300736507,26.71,Сила і честь,Харківська регіональна організація,33291780,Харківська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,№UA333052990000026007050538506,9019.98,Сила і честь,Дніпропетровська обласна організація,43820695,Дніпропетровська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA453117440000026000055842921,475754,Сила і честь,Житомирська обласна організація,43817242,Житомирська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA693123780000026003053822933,-,Сила і честь,Закарпатська регіональна організація,33985386,Закарпатська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA693123780000026003053822933,-,Сила і честь,Закарпатська регіональна організація,33985386,Закарпатська область,31.12.2020  02:52:48,4,2020
"АТ  ""Укресімбанк""",поточний рахунок,UA443223130000026005000045915,0.71,Сила і честь,Закарпатська регіональна організація,33985386,Закарпатська область,31.12.2020  02:52:48,4,2020
"АБ ""Укргазбанк""",поточний рахунок,UA463204780000026001924893446,0.61,Сила і честь,Олександрійська міська організація,33991949,Кіровоградська область,31.12.2020  02:52:48,4,2020
"АТ ""ПУМБ""",поточний рахунок,UA533348510000000026009126860,1052.24,Сила і честь,Миколаївська регіональна організація,33896286,Миколаївська область,31.12.2020  02:52:48,4,2020
"АТ ""Ощадбанк""",поточний рахунок,UA973351060000026000300714278,352.81,Сила і честь,Донецька обласна організація,33454123,Донецька область,31.12.2020  02:52:48,4,2020
"АБ ""Південний""",поточний рахунок,UA 64 328209 00000 26003000012515,22649,Сила і честь,Кіровоградська обласна організація,33962971,Кіровоградська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA043052990000026007015105219,0,Сила і честь,Світловодська міська організація,33331869,Кіровоградська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA223287040000026004054254497,9561,Сила і честь,Одеська обласна організація,33386279,Одеська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA483287040000026006054243194,0,Сила і честь,Одеська міська організація,33568054, Одеська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA693314010000026009054229651 ,231733.49,Сила і честь,Київська обласна організація,34001871,Київська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA073253210000026009053789084,0,Сила і честь,Львівська обласна організація ,33981638,Львівська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA083052990000026002031025345,35126,Сила і честь,Львівська обласна організація ,33981638,Львівська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA693314010000026009054229651 ,61446.26,Сила і честь,Полтавська обласна організація,43822514,Полтавська область,31.12.2020  02:52:48,4,2020
"УП АТ ""Ощадбанк""",поточний рахунок,UA593333680000026009300749343,299506.95,Сила і честь,Рівненська обласна організація,33408779,Рівненська область,31.12.2020  02:52:48,4,2020
"АТ ""Укрексімбанк""",поточний рахунок,UA113223130000026005000045636,147820.58,Сила і честь,Сумська обласна організація,43810933,Сумська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA 523387830000026006055128400 ,0,Сила і честь,Тернопільська регіональна організація,33992655,Тернопільська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA 0833878300000422055100886 ,0,Сила і честь,Тернопільська регіональна організація,33992655,Тернопільська область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA693314010000026009054229651 ,4539,Сила і честь,Хмельницька обласна організація,43795837,Хмельницька область,31.12.2020  02:52:48,4,2020
"АТ КБ ""Приватбанк"" 
",поточний рахунок,UA883052990000026007021605617,18810.74,Сила і честь,Черкаська регіональна організація,33363204,Черкаська область,31.12.2020  02:52:48,4,2020
"АБ ""Укргазбанк""",поточний рахунок,UA553204780000026001924893963,15137.11,Сила і честь,Чернівецька обласна організація,33337064,Чернівецька область,31.12.2020  02:52:48,4,2020
