Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АТ КБ ""Приватбанк""",Поточний рахунок,UA593375460000026009055022131,1639.39,БАТЬКІВЩИНА,СУМСЬКА ОБЛАСНА організація,24011118,Сумська обл.,2023-12-31,4,2023
"АТ КБ ""Приватбанк""",Поточний рахунок,UA223052990000026007010122684,0.00,БАТЬКІВЩИНА,Вишгородська районна організація,25951149,Київська обл.,2023-12-31,4,2023
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA913133990000026002010203520,0.00,БАТЬКІВЩИНА,Запорізька обласна організація,25766789,Запорізька обл.,2023-12-31,4,2023
"АТ ""КБ ""ГЛОБУС""",Поточний рахунок,UA493805260000002600400123832,0.00,БАТЬКІВЩИНА,Запорізька обласна організація,25766789,Запорізька обл.,2023-12-31,4,2023
АТ КБ Приватбанк,Поточний рахунок,UA163052990000035707021602451,0.00,БАТЬКІВЩИНА,Черкаська обласна організація,25770087,Черкаська обл.,2023-12-31,4,2023
АТ КБ Приватбанк,Поточний рахунок,UA933052990000026008001609137,11940.33,БАТЬКІВЩИНА,Черкаська обласна організація,25770087,Черкаська обл.,2023-12-31,4,2023
"Акціонерне товариство""Райффайзен банк""Базове відділення м.Львів",Поточний рахунок,UA883808050000000026009223347,15358.86,БАТЬКІВЩИНА,ЛЬВІВСЬКА ОБЛАСНА організація,25249083,Львівська обл.,2023-12-31,4,2023
"Акціонерне товариство комерційний банк ""Приватбанк""",Поточний рахунок,UA433052990000026007050347236,0.00,БАТЬКІВЩИНА,Дніпропетровська обласна організація,25788756,Дніпропетровська обл.,2023-12-31,4,2023
"Івано-Франківська філія ПАТ АБ ""Укргазбанк"",МФО 320478",Поточний рахунок,UA083204780000000026007300867,58796.94,БАТЬКІВЩИНА,Івано-Франківська обласна організація,25789520,Івано-Франківська обл.,2023-12-31,4,2023
"Івано-Франківська філія ПАТ АБ ""Укргазбанк"",МФО 320478",рахунок для страхових внесків,UA483204780000026042903293899,0.00,БАТЬКІВЩИНА,Івано-Франківська обласна організація,25789520,Івано-Франківська обл.,2023-12-31,4,2023
"Акціонерний банк ""Укргазбанк""",Поточний рахунок,UA963204780000026004924426650,0.00,БАТЬКІВЩИНА,Київська обласна організація,21710792,м.Київ,2023-12-31,4,2023
"Акціонерний банк ""Укргазбанк""",Поточний рахунок,UA193204780000026000924914821,0.00,БАТЬКІВЩИНА,Київська обласна організація,21710792,м.Київ,2023-12-31,4,2023
"АТ ""Райффайзен Банк""",Поточний рахунок,UA203808050000000026005209741,0.00,БАТЬКІВЩИНА,Тернопільська територіальна обласна організація,25781561,Тернопільська обл.,2023-12-31,4,2023
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA883052990000026006013304682,0.00,БАТЬКІВЩИНА,Тернопільська територіальна обласна організація,25781561,Тернопільська обл.,2023-12-31,4,2023
"АТ ""Райффайзен Банк""",Для соціальних виплат,UA783808050000000002604868654,0.00,БАТЬКІВЩИНА,Тернопільська територіальна обласна організація,25781561,Тернопільська обл.,2023-12-31,4,2023
АТ «РАЙФФАЙЗЕН БАНК»,поточний,UA493808050000000026009378667,6081.32,БАТЬКІВЩИНА,ХАРКІВСЬКА ОБЛАСНА організація,25792203,Харківська обл.,2023-12-31,4,2023
АТ КБ Приватбанк,Поточний рахунок,UA563314010000026002300724001,0.00,БАТЬКІВЩИНА,Полтавська обласна організація,25784681,Полтавська обл.,2023-12-31,4,2023
АТ Полтава-банк,Поточний рахунок,UA593314890000026000248411001,1227.98,БАТЬКІВЩИНА,Полтавська обласна організація,25784681,Полтавська обл.,2023-12-31,4,2023
"Акціонерне товариство комерційний банк ""ПРИВАТ БАНК""",Поточний рахунок,UA763052990000026001036214237,3002.41,БАТЬКІВЩИНА,Голосіївська районна організація,21716820,м.Київ,2023-12-31,4,2023
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA413052990000026001026208929,27931.33,БАТЬКІВЩИНА,Оболонська районна організація в м.Києві,25895860,м.Київ,2023-12-31,4,2023
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA253052990000026001036000106,0.00,БАТЬКІВЩИНА,Хмельницька обласна організація,22777686,Хмельницька обл.,2023-12-31,4,2023
"АТ КБ ""Приватбанк""",Поточний рахунок,UA573052990000026009041104271,615.00,БАТЬКІВЩИНА,Херсонська міська організація,25801563,Херсонська обл.,2023-12-31,4,2023
"Хмельницьке ОУ АТ ""Ощадбанк""",Поточний рахунок,UA543157840000026005300528092,0.00,БАТЬКІВЩИНА,Хмельницька міська організація Хмельницької області,25879370,Хмельницька обл.,2023-12-31,4,2023
Філія Рівненське ОУ АТ Ощадбанк м.Рівне,Поточний рахунок,UA413333680000026004301975917,0.00,БАТЬКІВЩИНА,РІВНЕНСЬКА ОБЛАСНА організація,25797672,Рівненська обл.,2023-12-31,4,2023
"ПАТ КБ ""ПриватБанк""",Поточний рахунок,UA193052990000026001045103470,6611.95,БАТЬКІВЩИНА,Кіровоградська обласна організація,24146984,Кіровоградська обл.,2023-12-31,4,2023
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA683052990000026009050016918,1000.08,БАТЬКІВЩИНА,ЧЕРНІГІВСЬКА ОБЛАСНА організація,25785516,Чернігівська обл.,2023-12-31,4,2023
Відділення №1 ПУМБ в м. Житомир,Поточний рахунок,UA413348510000000026006209025,567.48,БАТЬКІВЩИНА,ЖИТОМИРСЬКА ОБЛАСНА організація,25776533,Житомирська обл.,2023-12-31,4,2023
"Житомирське відділення АТ""АЙБОКС БАНК""",Поточний рахунок,UA873223020000026001001929301,0.00,БАТЬКІВЩИНА,ЖИТОМИРСЬКА ОБЛАСНА організація,25776533,Житомирська обл.,2023-12-31,4,2023
"Філія ЗОУ АТ ""Ощадбанк""",Поточний рахунок,UA083123560000026003000619517,1306.11,БАТЬКІВЩИНА,ЗАКАРПАТСЬКА ОБЛАСНА організація,25446205,Закарпатська обл.,2023-12-31,4,2023
"Державний ощадний банк України Публічне акціонерне товариство Філія ЧЕРНІВЕЦЬКЕ ОУ АТ""Ощадбанк""",Поточний рахунок,UA303563340000026005300496931,0.00,БАТЬКІВЩИНА,Чернівецька обласна організація,21436173,Чернівецька обл.,2023-12-31,4,2023
"АТ ""Укрексімбанк""",Поточний рахунок,UA933223130000026004000045552,0.00,БАТЬКІВЩИНА,Донецька обласна організація,26502259,Донецька обл.,2023-12-31,4,2023
"АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""ПРИВАТБАНК""",Поточний рахунок,UA803052990000026000046213832,21740.00,БАТЬКІВЩИНА,Київська міська організація,21709458,м.Київ,2023-12-31,4,2023
"АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""ПРИВАТБАНК""",Поточний рахунок,UA233052990000026006006205743,0.00,БАТЬКІВЩИНА,Київська міська організація,21709458,м.Київ,2023-12-31,4,2023
"АКЦІОНЕРНЕ ТОВАРИСТВО ""РАЙФФАЙЗЕН БАНК""",Поточний рахунок,UA143808050000000026007135493,1116.25,БАТЬКІВЩИНА,Київська міська організація,21709458,м.Київ,2023-12-31,4,2023
"АКЦІОНЕРНЕ ТОВАРИСТВО ""РАЙФФАЙЗЕН БАНК""",Поточний рахунок,UA383808050000000026002135487,60.46,БАТЬКІВЩИНА,Київська міська організація,21709458,м.Київ,2023-12-31,4,2023
"Миколаївське РУ АТ КБ ""ПриватБанк""",Поточний рахунок,UA213052990000026007031700740,374.43,БАТЬКІВЩИНА,Миколаївська обласна організація,23405295,Миколаївська обл.,2023-12-31,4,2023
"Акціонерне товариство комерційний банк ""Приватбанк""",Поточний рахунок,UA963052990000026003000106335,0.00,БАТЬКІВЩИНА,Броварська міська організація Київської області,25951446,Київська обл.,2023-12-31,4,2023
"АТ КБ ""Приватбанк""",Поточний рахунок,UA803052990000026005021100653,146979.70,БАТЬКІВЩИНА,ХЕРСОНСЬКА ОБЛАСНА організація,25801864,Херсонська обл.,2023-12-31,4,2023
"Публічне акціонерне товариство акціонерний банк ""Укргазбанк""",Поточний рахунок,UA853204780000026001924857727,0.00,БАТЬКІВЩИНА,Волинська обласна організація,25787544,Волинська обл.,2023-12-31,4,2023
"ПАТ ""МТБ БАНК""",Поточний рахунок,UA333281680000000026000283851,7030.58,БАТЬКІВЩИНА,Одеська обласна організація,25433349,Одеська обл.,2023-12-31,4,2023
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA213052990000026009006108386,14405.25,БАТЬКІВЩИНА,Вінницька обласна організація,25511109,Вінницька обл.,2023-12-31,4,2023
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA573052990000026005030124783,0.00,БАТЬКІВЩИНА,Ставищенська районна організація,26078716,Київська обл.,2023-12-31,4,2023
"АТ ""ПРАВЕКС БАНК""",Бюджетний рахунок,UA723808380000026048700741786,500634.14,БАТЬКІВЩИНА,Центральний офіс,20069956,Україна,2023-12-31,4,2023
"АТ ""ПРАВЕКС БАНК""",Поточний рахунок,UA053808380000026004700768059,29168.62,БАТЬКІВЩИНА,Центральний офіс,20069956,Україна,2023-12-31,4,2023
"АБ ""УКРГАЗБАНК""",Поточний рахунок,UA483204780000026007212001988,897.00,БАТЬКІВЩИНА,Центральний офіс,20069956,Україна,2023-12-31,4,2023
"АБ ""УКРГАЗБАНК""",Рахунок для соціальних виплат,UA223204780000026046903289478,0.00,БАТЬКІВЩИНА,Центральний офіс,20069956,Україна,2023-12-31,4,2023
