"Найменування банку","Вид рахунку","Номер рахунку","Сума коштів","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний об'єкт","Дата","Квартал","Рік"
"АБ ""Радабанк""","поточний рахунок",26005300002291,"327,24","ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКА СИЛА""","Центральний офіс","21707382","Україна","2019-12-31",5,2019
"невідомо","поточний рахунок",4443331111,"0,0","ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКА СИЛА""","Вінницька обласна організація","25507332","Вінницька область","2019-12-31",5,2019
"АБ ""Радабанк""","поточний рахунок",26007300001568,"274,49","ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКА СИЛА""","Дніпропетровська міська організація","36052425","Дніпропетровська область","2019-12-31",5,2019
"АБ ""Радабанк""","поточний рахунок",26006300001570,"379,83","ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКА СИЛА""","Дніпропетровська обласна організація","25724905","Дніпропетровська область","2019-12-31",5,2019
"невідомо","поточний рахунок",4443331114,"0,0","ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКА СИЛА""","Житомирська обласна організація","25712776","Житомирська область","2019-12-31",5,2019
"невідомо","поточний рахунок",4443331115,"0,0","ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКА СИЛА""","Закарпатська обласна організація","25442822","Закарпатська область","2019-12-31",5,2019
"невідомо","поточний рахунок",4443331116,"0,0","ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКА СИЛА""","Івано-Франківська обласна організація","25734814","Івано-Франківська область","2019-12-31",5,2019
"невідомо","поточний рахунок",4443331117,"0,0","ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКА СИЛА""","Кіровоградська обласна організація","23903489","Кіровоградська область","2019-12-31",5,2019
"невідомо","поточний рахунок",4443331118,"0,0","ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКА СИЛА""","Львівська обласна організація","19335499","Львівська область","2019-12-31",5,2019
"невідомо","поточний рахунок",4443331119,"0,0","ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКА СИЛА""","Миколаївська обласна організація","33968821","Миколаївська область","2019-12-31",5,2019
"невідомо","поточний рахунок",4443331120,"0,0","ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКА СИЛА""","Нікопольська міська організація","40044090","Дніпропетровська область","2019-12-31",5,2019
"невідомо","поточний рахунок",4443331121,"0,0","ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКА СИЛА""","Одеська обласна організація","23868244","Одеська область","2019-12-31",5,2019
