Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"ПАТ АБ ""УКРГАЗБАНК""",Поточний рахунок,UA443204780000026008924893535,3158.40,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Донецька обласна організація,43784212,Донецька обл.,2021-12-31,4,2021
АТ КБ «ПриватБанк»,Поточний рахунок,UA983235830000026001052936407,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Кіровоградська обласна організація,43808327,Кіровоградська обл.,2021-12-31,4,2021
"Фiлiя - Одеське обласне управлiння публічного акцiонерного товариства ""Державний ощадний банк України""",Поточний рахунок,UA063288450000026009300706617,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Подільська районна організація,43787260,Одеська обл.,2021-12-31,4,2021
"Філія ПАТ АБ ""УКРГАЗБАНК""",Поточний рахунок,UA553204780000026002924893638,4559.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Харківська обласна організація,43797551,Харківська обл.,2021-12-31,4,2021
"Філія - Івано-Франківське обласне управління публічного акціонерного товариства ""Державний ощадний банк ""України""",Поточний рахунок,UA023365030000026001301720502,2206.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Яремчанська міська організація,43810425,Івано-Франківська обл.,2021-12-31,4,2021
"філія-ПАТ АБ ""УКРГАЗБАНК""",Поточний рахунок,UA823204780000026005924891789,54791.91,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Вінницька обласна організація,43736745,Вінницька обл.,2021-12-31,4,2021
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA063117440000026000055845951,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Житомирська обласна організація,43790933,Житомирська обл.,2021-12-31,4,2021
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA983052990000026009016401028,13496.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Житомирська обласна організація,43790933,Житомирська обл.,2021-12-31,4,2021
"Філія-Гол.упр.по м.Київ та Київській обл. ПАТ ""Державний ощадний банк України""",Поточний рахунок,UA763226690000026008300702713,86.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Київська обласна організація,43770079,Київська обл.,2021-12-31,4,2021
"Фiлiя - Полтавське обласне управлiння публічного акцiонерного товариства ""Державний ощадний банк України""",Поточний рахунок,UA023314670000026004300726984,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Лубенська міська організація,43803706,Полтавська обл.,2021-12-31,4,2021
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA773052990000026001041007086,142.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Львівська обласна організація,43814110,Львівська обл.,2021-12-31,4,2021
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA263052990000026006031701751,12910.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Первомайська міська організація,43831309,Миколаївська обл.,2021-12-31,4,2021
"АТ ""МЕГАБАНК""",Поточний рахунок,UA893516290000000026003161733,693.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Полтавська обласна організація,44524805,Полтавська обл.,2021-12-31,4,2021
"Фiлiя - Рiвненське обласне управлiння публічного акцiонерного товариства ""Державний ощадний банк України""",Поточний рахунок,UA483333680000026006300705799,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Рівненська обласна організація,43784736,Рівненська обл.,2021-12-31,4,2021
"Фiлiя - Хмельницьке обласне управлiння публічного акцiонерного товариства ""Державний ощадний банк України""",Поточний рахунок,UA203157840000026002300734834,0.00,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Хмельницька обласна організація,43779899,Хмельницька обл.,2021-12-31,4,2021
"Фiлiя - Закарпатське обласне управлiння публічного акцiонерного товариства ""Державний ощадний банк України""",Поточний рахунок,UA613123560000026002300713705,184.50,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Хустська міська організація,43777954,Закарпатська обл.,2021-12-31,4,2021
"Фiлiя - Закарпатське обласне управлiння публічного акцiонерного товариства ""Державний ощадний банк України""",Поточний рахунок,UA813123560000026004300712016,2569.50,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Хустська районна організація,43778116,Закарпатська обл.,2021-12-31,4,2021
"Філія-Головне управління по м.Києву та Київській області АТ ""ОЩАДБАНК""",Поточний рахунок,UA513226690000026007301704625,40488.40,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Центральний офіс,39610682,Україна,2021-12-31,4,2021
"Філія-Вінницьке обласне управління АТ ""Ощадбанк""",Поточний рахунок,UA643020760000026002300501478,145.42,УКРАЇНСЬКА СТРАТЕГІЯ ГРОЙСМАНА,Центральний офіс,39610682,Україна,2021-12-31,4,2021
