Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,Дата припинення,Сума (вартість) зобовʼязання на момент припинення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),"Сума (вартість) на кінець звітного періоду, грн",Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об'єкт,Квартал,Рік
Друк газети,2020-01-01,6600.0,2020-12-31 00:00:00,6600, Луцишин-Кобилянська Марія Володимирі,,46010 Тернопільська обл. м.Тернопіль проспект Злуки 5 кв.91,,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Оренда приміщення,2020-01-01,21735.0,2020-12-31 00:00:00,21735,Чопівська Людмила Станіславівна,,"13501 Житомирська обл.,Попільнянський р-н,",,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Хостинг веб сайту та соцмережі,2020-01-01,94190.0,2020-12-31 00:00:00,66640, Страз Оксана Антонівна,,"31200, Хмельницька обл., Волочиський район, місто Волочиськ, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 82, квартира 14",27550.0,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Меблі,2020-01-01,25111.0,2020-12-31 00:00:00,25111, Телицин Сергій Олександрович,,"Донецька обл,м.Краматорськ,п-т Миру,буд.3",,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Оренда обладнення,2020-01-01,15038.25,2020-12-31 00:00:00,, КІХТАН АНДРІЙ ВОЛОДИМИРОВИЧ,,"79057, Львівська обл., місто Львів, ВУЛИЦЯ ГІПСОВА, будинок 54",15038.25,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Поліграфія,2020-01-01,2000.0,2020-03-31 00:00:00,, Сокура Тетяна Олексіївна,,"79032, м.Львів, вул.Дж. Вашингтона 4А 6/28",2000.0,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
обслуговування 1С ,2020-01-01,6450.0,2020-03-31 00:00:00,, Петришин Роман Богданович,,"79049, Львівська обл., місто Львів, ВУЛИЦЯ ВЕРНАДСЬКОГО, будинок 8, квартира 59",6450.0,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Оренда приміщення,2020-01-01,4830.0,2020-12-31 00:00:00,4830,Панченко Аліна Борисівна,,"Чернігівська обл., Ічнянський р-н, м. Ічня,",,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Зарплата,2020-01-01,11721.4,2020-03-22 00:00:00,,Васів Наталія Юріївна ,,"м.Львів, ",11721.4,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Зарплата,2020-01-01,32962.37,2020-02-28 00:00:00,,Дунаєвська Ольга Євстахіївна,,"м.Львів, ",32962.37,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
