"Вид фінансових зобовʼязань","Дата виникнення","Сума (вартість) зобовʼязання на момент виникнення","Дата припинення","Сума (вартість) зобовʼязання на момент припинення","ПІБ (для фіз. осіб)/Назва (для юр. осіб)","Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб)","Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб)","Сума (вартість) на кінець звітного періоду, грн","Тип особи","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний об'єкт","Квартал","Рік"
"Оренда офісу","2020-03-31","200,0","2020-11-30",,"ТОВ ""Українська продовольча корпорація""","38822685","ХЕРСОНСЬКА обл., М. ХЕРСОН, вул. ЯРОСЛАВА МУДРОГО, буд. 12 -14, КВ. (оф.) 24","200,0","юридична особа","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Центральний офіс",39550770,"Україна",1,2020
"Оренда офісу","2020-05-30","200,0","2020-11-30",,"ТОВ ""Українська продовольча корпорація""","38822685","М. ХЕРСОН, вул. ЯРОСЛАВА МУДРОГО, буд. 12 -14, КВ. (оф.) 24","200,0","юридична особа","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Центральний офіс",39550770,"Україна",2,2020
"Оренда офісу","2020-06-30","200,0","2020-11-30",,"ТОВ ""Українська продовольча корпорація""","38822685","М. ХЕРСОН, вул. ЯРОСЛАВА МУДРОГО, буд. 12 -14, КВ. (оф.) 24","200,0","юридична особа","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Центральний офіс",39550770,"Україна",2,2020
"Оренда офісу","2020-04-30","200,0","2020-11-30",,"ТОВ ""Українська продовольча корпорація""","38822685","М. ХЕРСОН, вул. ЯРОСЛАВА МУДРОГО, буд. 12 -14, КВ. (оф.) 24","200,0","юридична особа","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Херсонська регіональна організація",43576407,"Херсонська область",2,2020
"Оренда офісу","2020-05-31","200,0","2020-11-30",,"ТОВ ""Українська продовольча корпорація""","38822685","М. ХЕРСОН, вул. ЯРОСЛАВА МУДРОГО, буд. 12 -14, КВ. (оф.) 24","200,0","юридична особа","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Херсонська регіональна організація",43576407,"Херсонська область",2,2020
"Оренда офісу","2020-06-30","200,0","2020-11-30",,"ТОВ ""Українська продовольча корпорація""","38822685","М. ХЕРСОН, вул. ЯРОСЛАВА МУДРОГО, буд. 12 -14, КВ. (оф.) 24","200,0","юридична особа","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Херсонська регіональна організація",43576407,"Херсонська область",2,2020
"Оренда офісу","2020-05-30","200,0","2020-06-30",,"ТОВ ""Українська продовольча корпорація""","38822685","м. Херсон, вул. КАНАТНА, буд. 21 / вул. ГЕТЬМАНА САГАЙДАЧНОГО, буд. 41","400,0","юридична особа","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Центральний офіс",39550770,"Україна",3,2020
"Оренда меблів офісу","2020-07-31","720,0","2020-12-31",,"ТОВ ""Українська продовольча корпорація""","38822685","м. Херсон, вул. КАНАТНА, буд. 21 / вул. ГЕТЬМАНА САГАЙДАЧНОГО, буд. 41","2731,2","юридична особа","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Центральний офіс",39550770,"Україна",3,2020
"Оренда оргтехніки","2020-07-31","730,0","2020-12-31",,"ТОВ ""Українська продовольча корпорація""","38822685","м. Херсон, вул. КАНАТНА, буд. 21 / вул. ГЕТЬМАНА САГАЙДАЧНОГО, буд. 41","2190,0","юридична особа","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Центральний офіс",39550770,"Україна",3,2020
"Оренда офісу","2020-07-31","200,0","2020-11-30",,"ТОВ ""Українська продовольча корпорація""","38822685","М. ХЕРСОН, вул. ЯРОСЛАВА МУДРОГО, буд. 12 -14, КВ. (оф.) 24","200,0","юридична особа","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Херсонська регіональна організація",43576407,"Херсонська область",3,2020
"Оренда офісу","2020-08-31","200,0","2020-11-30",,"ТОВ ""Українська продовольча корпорація""","38822685","М. ХЕРСОН, вул. ЯРОСЛАВА МУДРОГО, буд. 12 -14, КВ. (оф.) 24","200,0","юридична особа","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Херсонська регіональна організація",43576407,"Херсонська область",3,2020
"Оренда офісу","2020-09-30","200,0","2020-11-30",,"ТОВ ""Українська продовольча корпорація""","38822685","М. ХЕРСОН, вул. ЯРОСЛАВА МУДРОГО, буд. 12 -14, КВ. (оф.) 24","200,0","юридична особа","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Херсонська регіональна організація",43576407,"Херсонська область",3,2020
