"Найменування банку","Вид рахунку","Номер рахунку","Сума коштів","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний об'єкт","Дата","Квартал","Рік"
"ПАТ ""ПУМБ""","поточний рахунок","UA663348510000000026007113682","6408,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Центральний офіс",39550770,"Україна","2020-03-31",1,2020
"невідомо","поточний рахунок",22221111,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Голосіївська районна організація",40242427,"Київ","2020-03-31",1,2020
"невідомо","поточний рахунок",22221112,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Київська міська організація",39662725,"Київ","2020-03-31",1,2020
"невідомо","поточний рахунок",22221113,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Херсонська регіональна організація",43576407,"Херсонська область","2020-03-31",1,2020
"невідомо","поточний рахунок",22221114,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Полтавська обласна організація",39647340,"Полтавська область","2020-03-31",1,2020
"невідомо","поточний рахунок",22221115,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Дніпропетровська обласна організація",39940026,"Дніпропетровська область","2020-03-31",1,2020
"ПАТ ""ПУМБ""","поточний рахунок","UA663348510000000026007113682","8233,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Центральний офіс",39550770,"Україна","2020-06-30",2,2020
"невідомо","поточний рахунок",22221112,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Київська міська організація",39662725,"Київ","2020-06-30",2,2020
"невідомо","поточний рахунок",22221111,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Голосіївська районна організація",40242427,"Київ","2020-06-30",2,2020
"невідомо","поточний рахунок",22221113,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Херсонська регіональна організація",43576407,"Херсонська область","2020-06-30",2,2020
"невідомо","поточний рахунок",22221114,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Полтавська обласна організація",39647340,"Полтавська область","2020-06-30",2,2020
"невідомо","поточний рахунок",22221115,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Дніпропетровська обласна організація",39940026,"Дніпропетровська область","2020-06-30",2,2020
"ПАТ ""ПУМБ""","поточний рахунок","UA663348510000000026007113682","592197,94","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Центральний офіс",39550770,"Україна","2020-09-30",3,2020
"невідомо","поточний рахунок",22221114,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Полтавська обласна організація",39647340,"Полтавська область","2020-09-30",3,2020
"невідомо","поточний рахунок",22221111,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Голосіївська районна організація",40242427,"Київ","2020-09-30",3,2020
"невідомо","поточний рахунок",22221112,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Київська міська організація",39662725,"Київ","2020-09-30",3,2020
"невідомо","поточний рахунок",22221113,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Херсонська регіональна організація",43576407,"Херсонська область","2020-09-30",3,2020
"невідомо","поточний рахунок",22221115,"0,0","ПАРТІЯ ІГОРЯ КОЛИХАЄВА ""НАМ ТУТ ЖИТИ!""","Дніпропетровська обласна організація",39940026,"Дніпропетровська область","2020-09-30",3,2020
