Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,Дата припинення,Сума (вартість) зобовʼязання на момент припинення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),"Сума (вартість) на кінець звітного періоду, грн",Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
"Оплата правової допомоги та компенсація витрат, повʼязаних з правовою допомогою",2017-03-31,"9170,4",,0,ФОП Швець Марія Петрівна,,м. Київ,"9170,4",ФОП,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Плата за договором оренди нежитлового приміщення за договором від 2016-10-13,2017-02-01,800,2017-04-05,800,"Асоціація ""Українсько-Ізраїльська торгова палата""",23153841,"м. Київ, вул. Мечникова, буд. 14/1",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Плата за договором оренди нежитлового приміщення за договором від 2016-10-13,2017-03-01,800,2017-04-05,800,"Асоціація ""Українсько-Ізраїльська торгова палата""",23153841,"м. Київ, вул. Мечникова, буд. 14/1",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Плата за договором оренди нежитлового приміщення за договором від 2016-10-13,2017-04-01,800,2017-04-05,800,"Асоціація ""Українсько-Ізраїльська торгова палата""",23153841,"м. Київ, вул. Мечникова, буд. 14/1",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Плата за договором оренди нежитлового приміщення за договором від 2016-10-13,2017-05-01,800,2017-06-27,800,"Асоціація ""Українсько-Ізраїльська торгова палата""",23153841,"м. Київ, вул. Мечникова, буд. 14/1",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за надання юридичних послуг за договором від 2017-05-01,2017-05-01,2000,,0,"ТОВ ""Адвокатська компанія ""Золота середина""",37884206,"м. Київ, вул. Мечникова, буд. 14/1",2000,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за надання юридичних послуг за договором від 2017-05-01,2017-06-01,2000,,0,"ТОВ ""Адвокатська компанія ""Золота середина""",37884206,"м. Київ, вул. Мечникова, буд. 14/1",2000,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Плата за договором оренди нежитлового приміщення за договором від 2016-10-13,2017-06-01,800,2017-06-27,800,"Асоціація ""Українсько-Ізраїльська торгова палата""",23153841,"м. Київ, вул. Мечникова, буд. 14/1",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за надання юридичних послуг за договором від 2017-05-01,2017-07-01,2000,,0,"ТОВ ""Адвокатська компанія ""Золота середина""",37884206,"м. Київ, вул. Мечникова, буд. 14/1",2000,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Плата за договором оренди нежитлового приміщення за договором від 2016-10-13,2017-07-01,800,2017-08-14,800,"Асоціація ""Українсько-Ізраїльська торгова палата""",23153841,"м. Київ, вул. Мечникова, буд. 14/1",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за надання юридичних послуг за договором від 2017-05-01,2017-08-01,2000,,0,"ТОВ ""Адвокатська компанія ""Золота середина""",37884206,"м. Київ, вул. Мечникова, буд. 14/1",2000,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Плата за договором оренди нежитлового приміщення за договором від 2016-10-13,2017-08-01,800,2017-08-14,800,"Асоціація ""Українсько-Ізраїльська торгова палата""",23153841,"м. Київ, вул. Мечникова, буд. 14/1",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
оплата за договором поставки від 2017-08-11,2017-08-21,4500,2017-08-21,4500,"ТОВ ""Компанія ""Технограф""",39115208,"м. Київ, вул. О. Довженка, буд. 3",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за надання юридичних послуг за договором від 2017-05-01,2017-09-01,2000,,0,"ТОВ ""Адвокатська компанія ""Золота середина""",37884206,"м. Київ, вул. Мечникова, буд. 14/1",2000,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Плата за договором оренди нежитлового приміщення за договором від 2016-10-13,2017-09-01,800,2017-08-14,800,"Асоціація ""Українсько-Ізраїльська торгова палата""",23153841,"м. Київ, вул. Мечникова, буд. 14/1",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
оплата рекламних послуг згідно договору від 2017-09-05,2017-09-30,"308612,12",2017-10-23,"308612,12","ТОВ ""Новини 24 години""",33786517,"м. Київ, вул. Польова, буд. 21",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
оплата рекламних послуг згідно договору від 2017-09-05,2017-09-30,69010,2017-10-23,69010,"ТОВ ""Новини 24 години""",33786517,"м. Київ, вул. Польова, буд. 21",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Плата за договором оренди нежитлового приміщення за договором від 2016-10-13,2017-10-01,800,2017-11-16,800,"Асоціація ""Українсько-Ізраїльська торгова палата""",23153841,"м. Київ, вул. Мечникова, буд. 14/1",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за надання юридичних послуг за договором від 2017-05-01,2017-10-01,2000,,0,"ТОВ ""Адвокатська компанія ""Золота середина""",37884206,"м. Київ, вул. Мечникова, буд. 14/1",2000,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за послуги доступу до мережі Інтернет за договором № ППЗЖ про надання послуг від 2017-10-01,2017-10-01,100,2017-10-10,100,"ТОВ ""Дрім Лайн Холдінг""",34981026,"м. Київ, вул. Предславинська, буд. 28, оф. 1003",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за послуги користування сервером для розміщення веб-сайте за договором №ППЗЖ-С про надання послуг від 2017-10-01,2017-10-01,404,2017-10-10,404,"ТОВ ""Дрім Лайн Холдінг""",34981026,"м. Київ, вул. Предславинська, буд. 28, оф. 1003",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Плата за договором оренди нежитлового приміщення за договором від 2016-10-13,2017-11-01,800,2017-12-19,800,"Асоціація ""Українсько-Ізраїльська торгова палата""",23153841,"м. Київ, вул. Мечникова, буд. 14/1",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за послуги доступу до мережі Інтернет за договором № ППЗЖ про надання послуг від 2017-10-01,2017-11-01,100,2017-11-17,100,"ТОВ ""Дрім Лайн Холдінг""",34981026,"м. Київ, вул. Предславинська, буд. 28, оф. 1003",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за послуги користування сервером для розміщення веб-сайте за договором №ППЗЖ-С про надання послуг від 2017-10-01,2017-11-01,404,2017-11-17,404,"ТОВ ""Дрім Лайн Холдінг""",34981026,"м. Київ, вул. Предславинська, буд. 28, оф. 1003",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за надання юридичних послуг за договором від 2017-05-01,2017-11-01,2000,,0,"ТОВ ""Адвокатська компанія ""Золота середина""",37884206,"м. Київ, вул. Мечникова, буд. 14/1",2000,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Плата за договором оренди нежитлового приміщення за договором від 2016-10-13,2017-12-01,800,2017-12-19,800,"Асоціація ""Українсько-Ізраїльська торгова палата""",23153841,"м. Київ, вул. Мечникова, буд. 14/1",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за послуги доступу до мережі Інтернет за договором № ППЗЖ про надання послуг від 2017-10-01,2017-12-01,100,2017-11-17,100,"ТОВ ""Дрім Лайн Холдінг""",34981026,"м. Київ, вул. Предславинська, буд. 28, оф. 1003",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за послуги користування сервером для розміщення веб-сайте за договором №ППЗЖ-С про надання послуг від 2017-10-01,2017-12-01,404,2017-11-17,404,"ТОВ ""Дрім Лайн Холдінг""",34981026,"м. Київ, вул. Предславинська, буд. 28, оф. 1003",0,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Абонентська плата за надання юридичних послуг за договором від 2017-05-01,2017-12-01,2000,,0,"ТОВ ""Адвокатська компанія ""Золота середина""",37884206,"м. Київ, вул. Мечникова, буд. 14/1",2000,юридична особа,ЗА ЖИТТЯ!,Центральний офіс,21709375,Україна,5,2017
Оплата за телекомунікаційниі послуги згідно договору,2017-05-06,"208,2",2017-05-25,"208,2","ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18",0.0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
Оплата за телекомунікаційниі послуги згідно договору,2017-05-31,"251,07",2017-06-23,"251,07","ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18",0.0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за договором оренди за червень 2017,2017-06-01,2010,2017-07-11,2010,"ТОВ ""Готель Полілля Про""",39979781,"м. Вінниця, вул. Пушкіна, буд. 4",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за телекоунікаційні послуги згідно договору,2017-06-30,"184,92",2017-07-12,"184,92","ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за договором оренди за липень 2017,2017-07-01,2010,2017-07-11,2010,"ТОВ ""Готель Полілля Про""",39979781,"м. Вінниця, вул. Пушкіна, буд. 4",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за телекоунікаційні послуги згідно договору,2017-07-31,75,2017-07-12,75,"ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
пеня за договором про надання телекомунікаційних послуг,2017-07-31,"0,26",2017-08-30,"0,26","ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за договором оренди за серпень 2017,2017-08-01,2010,2017-11-17,2010,"ТОВ ""Готель Полілля Про""",39979781,"м. Вінниця, вул. Пушкіна, буд. 4",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за комунальні послуги згідно договору,2017-08-30,"32,2",2017-08-30,"32,2","ТОВ ""Готель Полілля Про""",39979781,"м. Вінниця, вул. Пушкіна, буд. 4",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за комунальні послуги згідно договору,2017-08-30,"32,24",2017-08-30,"32,24","ТОВ ""Готель Полілля Про""",39979781,"м. Вінниця, вул. Пушкіна, буд. 4",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за телекоунікаційні послуги згідно договору,2017-08-31,75,2017-08-30,75,"ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за комунальні послуги згідно договору,2017-09-29,"74,4",2017-09-29,"74,4","ТОВ ""Готель Полілля Про""",39979781,"м. Вінниця, вул. Пушкіна, буд. 4",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за телекоунікаційні послуги згідно договору,2017-09-30,75,2017-11-20,75,"ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за договором оренди за жовтень 2017,2017-10-01,2010,2017-10-31,2010,"ТОВ ""Готель Полілля Про""",39979781,"м. Вінниця, вул. Пушкіна, буд. 4",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за поліграфічну продукцію,2017-10-20,"3005,04",2017-10-23,"3005,04","ТОВ ""Прес корпорейшн Лімітед""",32168763,"м. Вінниця, вул. Чехова, буд. 12А",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за комунальні послуги за жовтень,2017-10-31,"99,2",2017-10-31,"99,2","ТОВ ""Готель Полілля Про""",39979781,"м. Вінниця, вул. Пушкіна, буд. 4",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
пеня за договором про надання телекомунікаційних послуг,2017-10-31,"0,29",2017-11-20,"0,29","ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за телкомунікаційні послуги згідно догоовору за жовтень,2017-10-31,"214,99",2017-11-20,"214,99","ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за договором оренди за листопад,2017-11-01,2010,2017-12-08,2010,"ТОВ ""Готель Полілля Про""",39979781,"м. Вінниця, вул. Пушкіна, буд. 4",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за комунальні послуги за листопад,2017-11-30,"944,16",2017-12-08,"944,16","ТОВ ""Готель Полілля Про""",39979781,"м. Вінниця, вул. Пушкіна, буд. 4",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
пеня за договором про надання телекомунікаційних послуг,2017-10-31,"0,55",2017-11-20,"0,55","ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата телекомунікаційних послуг згідно договору за листопад,2017-11-30,299,2017-12-22,299,"ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
пеня за договором про надання телекомунікаційних послуг,2017-11-30,"0,07",2017-12-22,"0,07","ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за договором оренди за грудень,2017-12-01,2010,2017-12-29,2010,"ТОВ ""Готель Полілля Про""",39979781,"м. Вінниця, вул. Пушкіна, буд. 4",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за комунальні послуги за грудень,2017-12-29,"936,72",2017-12-29,"936,72","ТОВ ""Готель Полілля Про""",39979781,"м. Вінниця, вул. Пушкіна, буд. 4",0,юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
оплата за телдекомунікаційнй послугиги згідно договору за грудень,2017-12-31,"305,68",2017-12-22,"298,93","ПАТ ""Укртелеком""",21560766,"м. Київ, бульв. Т. Шевченка, буд. 18","6,75",юридична особа,ЗА ЖИТТЯ!,Вінницька обласна організація,41278737,Вінницька область,5,2017
