Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"Вінницька філія АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA603052990000026007026109152,13877.77,СИЛА І ЧЕСТЬ,Вінницька регіональна організація політичної партії СИЛА І ЧЕСТЬ,33966173,Вінницька обл.,2024-03-31,1,2024
"АТ ""Ощадбанк""",Поточний рахунок,UA833226690000026009301688170,0.00,СИЛА І ЧЕСТЬ,Київська міська організація,43778002,м.Київ,2024-03-31,1,2024
АТ Ощадбанк,Поточний рахунок,UA643226690000026006300735492,8591.54,СИЛА І ЧЕСТЬ,Київська обласна організація,43822100,Київська обл.,2024-03-31,1,2024
"ТВБВ№10024/080 філія-Чернігівське обласне управління АТ""Ощадбанк""",Поточний рахунок,№UA633535530000026003300691704,2237.58,СИЛА І ЧЕСТЬ,Чернігівська обласна організація,34018288,Чернігівська обл.,2024-03-31,1,2024
"АБ ""Південний""",Поточний рахунок,UA643282090000026003000012515,0.00,СИЛА І ЧЕСТЬ,Кіровоградська обласна організація,33962971,Кіровоградська обл.,2024-03-31,1,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA883052990000026007021605617,3.49,СИЛА І ЧЕСТЬ,Черкаська регіональна організація політичної партії СИЛА І ЧЕСТЬ,33363204,Черкаська обл.,2024-03-31,1,2024
"АБ ""УКРГАЗБАНК""",Поточний рахунок,UA343204780000026001924893662,0.00,СИЛА І ЧЕСТЬ,Волинська обласна організація,33381532,Волинська обл.,2024-03-31,1,2024
"АТ КБ ""ПриватБанк""",Поточний рахунок,UA593052990000026002036400749,0.00,СИЛА І ЧЕСТЬ,Хмельницька обласна організація,43795837,Хмельницька обл.,2024-03-31,1,2024
"АТ КБ ""ПриватБанк""",Поточний рахунок,UA773052990000026008026401655,597.00,СИЛА І ЧЕСТЬ,Хмельницька обласна організація,43795837,Хмельницька обл.,2024-03-31,1,2024
Філія Рівненське ОУ Ощадбанк,Поточний рахунок,UA593333680000026009300749343,6597.25,СИЛА І ЧЕСТЬ,Рівненська обласна організація,33408779,Рівненська обл.,2024-03-31,1,2024
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA683052990000026004044919059,0.00,СИЛА І ЧЕСТЬ,Одеська обласна організація,33386279,Одеська обл.,2024-03-31,1,2024
"АБ""УКРГАЗБАНК""",Поточний рахунок,UA653204780000026008924893836,0.00,СИЛА І ЧЕСТЬ,Івано-Франківська обласна організація,34077542,Івано-Франківська обл.,2024-03-31,1,2024
Приватбанк,Поточний рахунок,UA943052990000026006033302385,170.40,СИЛА І ЧЕСТЬ,Тернопільська регіональна організація політичної партії СИЛА І ЧЕСТЬ,33992655,Тернопільська обл.,2024-03-31,1,2024
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA703052990000026008021205685,0.00,СИЛА І ЧЕСТЬ,Полтавська обласна організація,43822514,Полтавська обл.,2024-03-31,1,2024
"АТ ""Укрексімбанк""",Поточний рахунок,UA113223130000026005000045636,0.00,СИЛА І ЧЕСТЬ,Сумська обласна організація,43810933,Сумська обл.,2024-03-31,1,2024
"АТ КБ ""Приватбанк""",Поточний рахунок,UA083052990000026002031025345,736.76,СИЛА І ЧЕСТЬ,Львівська обласна організація,33981638,Львівська обл.,2024-03-31,1,2024
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA333052990000026007050538506,1965.28,СИЛА І ЧЕСТЬ,Дніпропетровська обласна організація,43820695,Дніпропетровська обл.,2024-03-31,1,2024
ФХАРКIВСЬКЕ ОБЛАСНЕ У АТОЩАД М.ХАРКIВ,Поточний рахунок,UA453518230000026002300736507,0.00,СИЛА І ЧЕСТЬ,Харківська обласна організація,33291780,Харківська обл.,2024-03-31,1,2024
"АТ ""Ощадбанк""",Поточний рахунок,UA433226690000026006300663605,3823.26,СИЛА І ЧЕСТЬ,Центральний офіс,33308363,Україна,2024-03-31,1,2024
"АТ ""Укрексімбанк""",Поточний рахунок,UA473223130000026003000042534,8246.48,СИЛА І ЧЕСТЬ,Центральний офіс,33308363,Україна,2024-03-31,1,2024
