Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,
"АБ ""Південний""",поточний рахунок,26000020007859,"916,94",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ ""Укрсоцбанк""",поточний рахунок,26008011703566,"205,39",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ ""Укрсоцбанк""",поточний рахунок,26000011694532,"881,44",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ ""Укрсоцбанк""",поточний рахунок,26000011394532,0,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ ""Укрсоцбанк""",поточний рахунок,20008011703566,0,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26051053700141,0,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,картковий
"ПАТ КБ ""Приватбанк""",поточний рахунок,26054052731516,24,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003052764578,41,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000053701317,"3135,42",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001052660542,496,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002052638755,"29,3",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000052634643,400,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009052626812,"543,9",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006052628084,"736,65",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009052644106,1000,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005053145849,"2454,54",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005052614165,2488,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008053509413,"6643,36",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000055716739,"18730,9",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000052636845,"109592,04",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000052604705,"924,75",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008000058101,0,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Депозитний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000000083505,0,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Депозитний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26101000576654,0,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Депозитний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008001329334,0,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Депозитний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26082000450725,0,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Відсотки за депозитом
"ПАТ КБ ""Приватбанк""",поточний рахунок,26182000906016,0,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Відсотки за депозитом
"ПАТ КБ ""Приватбанк""",поточний рахунок,26080000774403,0,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Відсотки за депозитом
"ПАТ КБ ""Приватбанк""",поточний рахунок,26080001775951,0,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Відсотки за депозитом
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004054716233,"6445,25",Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009055020252,100,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000055022958,541,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001000877897,0,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Депозитний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004055112913,46,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Поточний
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004053136428,2214,Сила людей,Центральний офіс,39378656,Україна,2016-12-31,5,2016,Ф-я «Приватбанку» Київської РУ МФО 321842
