Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АТ ""ПРИВАТБАНК""",Поточний рахунок,UA353052990000026004026000094,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ХМЕЛЬНИЦЬКА ОБЛАСНА організація,37263887,Хмельницька обл.,2024-06-30,2,2024
"АТ ""ПРИВАТБАНК""",Поточний рахунок,UA953052990000026001020114417,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,КИЇВСЬКА ОБЛАСНА організація,37236193,Київська обл.,2024-06-30,2,2024
"АТ ""Державний ощадний банк України""",Поточний рахунок,UA583046650000026007301741004,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ЛУГАНСЬКА ОБЛАСНА організація,37178520,Луганська обл.,2024-06-30,2,2024
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA523052990000026001021614035,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ЧЕРКАСЬКА ОБЛАСНА організація,37239608,Черкаська обл.,2024-06-30,2,2024
"АТ ""Ощадбанк""",Поточний рахунок,UA593518230000026004300641612,2711.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ХАРКІВСЬКА ОБЛАСНА організація,37188240,Харківська обл.,2024-06-30,2,2024
"АТ ""Райффайзенбанк""",Поточний рахунок,UA313808050000000026005314012,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ЛЬВІВСЬКА ОБЛАСНА організація,37277596,Львівська обл.,2024-06-30,2,2024
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA193052990000026009006811866,28388.71,ГРОМАДЯНСЬКА ПОЗИЦІЯ,РЕГІОНАЛЬНА КИЇВСЬКА МІСЬКА організація,37615584,м.Київ,2024-06-30,2,2024
"АТ ""Ощадбанк""",Поточний рахунок,UA903234750000026007300684913,738.48,ГРОМАДЯНСЬКА ПОЗИЦІЯ,КІРОВОГРАДСЬКА ОБЛАСНА організація,37297586,Кіровоградська обл.,2024-06-30,2,2024
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA593052990000026008023307097,23.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ТЕРНОПІЛЬСЬКА ОБЛАСНА організація,37016189,Тернопільська обл.,2024-06-30,2,2024
АТ ОЩАДБАНК,Поточний рахунок,UA303385450000026002300597395,1257.30,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ТЕРНОПІЛЬСЬКА ОБЛАСНА організація,37016189,Тернопільська обл.,2024-06-30,2,2024
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA093052990000026001025500338,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,ІВАНО-ФРАНКІВСЬКА ОБЛАСНА організація,36733960,Івано-Франківська обл.,2024-06-30,2,2024
"АТ ""Укрексімбанк""",Поточний рахунок,UA663223130000026009000000569,8441.32,ГРОМАДЯНСЬКА ПОЗИЦІЯ,Центральний офіс,33492420,Україна,2024-06-30,2,2024
"АТ ""ПРИВАТБАНК""",Поточний рахунок,UA493052990000026009021027549,0.00,ГРОМАДЯНСЬКА ПОЗИЦІЯ,Центральний офіс,33492420,Україна,2024-06-30,2,2024
