Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АТ КБ ""Приватбанк""",Поточний рахунок,UA773218420000026001053032633,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Білоцерківська районна організація Народного Руху України,34846058,Київська обл.,2021-12-31,4,2021
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA413366770000026007052500552,658.64,НАРОДНИЙ РУХ УКРАЇНИ,Калуська міська організація Народного Руху України,26290113,Івано-Франківська обл.,2021-12-31,4,2021
"АТ ""Кредобанк""",Поточний рахунок,UA383253650000000026006012799,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Золочівська районна організація Народного Руху України,20859486,Львівська обл.,2021-12-31,4,2021
ПАТ Полікомбанк ,Поточний рахунок,UA023531000000000026009046853,70.88,НАРОДНИЙ РУХ УКРАЇНИ,Чернігівська обласна організація Народного Руху України,14253147,Чернігівська обл.,2021-12-31,4,2021
"ТВБВ №10013/03 філії ЛОУ АТ ""Ощадбанк""",Поточний рахунок,UA653257960000026009300463672,413.00,НАРОДНИЙ РУХ УКРАЇНИ,Львівська міська організація Народного Руху України,37162200,Львівська обл.,2021-12-31,4,2021
Філія Закарпатське ОУ АТ ОЩАДБАНК м.Ужгород,розрахунковий рахунок,UA053123560000026009300730189,363.73,НАРОДНИЙ РУХ УКРАЇНИ,Закарпатська крайова організація Народного Руху України,22111912,Закарпатська обл.,2021-12-31,4,2021
АТ КБ Приватбанк,Поточний рахунок,UA233333910000026005054726114,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Рівненська обласна (крайова) організація Народного Руху України,13982080,Рівненська обл.,2021-12-31,4,2021
АТ КБ Приватбанк,Поточний рахунок,UA343052990000026005040701204,6326.42,НАРОДНИЙ РУХ УКРАЇНИ,Рівненська обласна (крайова) організація Народного Руху України,13982080,Рівненська обл.,2021-12-31,4,2021
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA323333910000026007054720840,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Костопільська районна організація Народного Руху України,22577208,Рівненська обл.,2021-12-31,4,2021
"АТ КБ ""ПРИВАТБАНК""",Поточний рахунок,UA113052990000026007010702554,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Костопільська районна організація Народного Руху України,22577208,Рівненська обл.,2021-12-31,4,2021
"Акціонерне товариство ""Полтава-банк""",Поточний рахунок,UA723314890000026009228023001,117.83,НАРОДНИЙ РУХ УКРАЇНИ,Полтавська крайова організація Народного Руху України,21063111,Полтавська обл.,2021-12-31,4,2021
АТ КБ «ПриватБанк»,Поточний рахунок,UA463052990000026001035009261,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Київська міська організація Народного Руху України,21656532,м.Київ,2021-12-31,4,2021
АТ КБ Приватбанк,Поточний рахунок,UA093366770000026007052508112,27.00,НАРОДНИЙ РУХ УКРАЇНИ,Рогатинська районна організація Народного Руху України,25071165,Івано-Франківська обл.,2021-12-31,4,2021
"ТВБВ №10013/0149 філії ЛОУ АТ ""Ощадбанк""",Поточний рахунок,UA583257960000026009301426038,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Бродівська районна організація Народного Руху України,20849921,Львівська обл.,2021-12-31,4,2021
"ТВБВ №10013/03 філії ЛОУ АТ ""Ощадбанк""",Поточний рахунок,UA363257960000026009300368164,10870.13,НАРОДНИЙ РУХ УКРАЇНИ,Львівська крайова організація політичної партії Народний Рух України,20806283,Львівська обл.,2021-12-31,4,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA943333910000026008054719399,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Рівненська міська організація Народного Руху України,22560366,Рівненська обл.,2021-12-31,4,2021
"АТ КБ ""Приватбанк""",Кредитні ліміти на розрахункові рахунки,UA443333910000026006054714062,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Рівненська міська організація Народного Руху України,22560366,Рівненська обл.,2021-12-31,4,2021
АТ КБ Приват банк ,Поточний рахунок,UA803366770000036000045501038,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Калуська районна організація Народного Руху України,26430293,Івано-Франківська обл.,2021-12-31,4,2021
АТ КБ Приват банк ,Поточний рахунок,UA213366770000026429052502860,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Калуська районна організація Народного Руху України,26430293,Івано-Франківська обл.,2021-12-31,4,2021
"ХМЕЛЬНИЦЬКЕ ВIДДIЛЕННЯ ""ЦЕНТРАЛЬНЕ"" ХМЕЛЬНИЦЬКОЇ ФIЛIЇ",Поточний рахунок,UA913154050000026003060825500,12778.77,НАРОДНИЙ РУХ УКРАЇНИ,Хмельницька крайова організація НРУ,21324385,Хмельницька обл.,2021-12-31,4,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA753052990000026000040802001,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Луцька міська організація Народного Руху України,40009281,Волинська обл.,2021-12-31,4,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA373052990000026002040801259,2765.41,НАРОДНИЙ РУХ УКРАЇНИ,Волинська крайова організація Народного Руху України,21734841,Волинська обл.,2021-12-31,4,2021
"АТ КБ ""Приватбанк""",Поточний рахунок,UA743034400000026005055523520,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Волинська крайова організація Народного Руху України,21734841,Волинська обл.,2021-12-31,4,2021
"ТВБВ №10013/03 філії ЛОУ АТ ""Ощадбанк""",Поточний рахунок,UA653257960000026007300556569,699901.00,НАРОДНИЙ РУХ УКРАЇНИ,Франківська районна організація Народного Руху України м.Львова,20807392,Львівська обл.,2021-12-31,4,2021
Івано-Франківське АТОщадбанк м. Івано-ФФранківськ,Поточний рахунок,UA793365030000026001300272846,424.31,НАРОДНИЙ РУХ УКРАЇНИ,Івано-Франківська крайова організація Народного Руху України,20554752,Івано-Франківська обл.,2021-12-31,4,2021
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA093052990000026005026101505,3395.65,НАРОДНИЙ РУХ УКРАЇНИ,Вінницька крайова організація Народного Руху України,21726149,Вінницька обл.,2021-12-31,4,2021
Відділення ПУМБ в м.Миколаїв,Поточний рахунок,UA493348510000026004996108073,6834.44,НАРОДНИЙ РУХ УКРАЇНИ,Миколаївська крайова організація Народного Руху України,20872392,Миколаївська обл.,2021-12-31,4,2021
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA103366770000026002052552011,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Косівська районна організація Народного Руху України,25654978,Івано-Франківська обл.,2021-12-31,4,2021
ПАТ АБ УКРГАЗБАНК,Поточний рахунок,UA703204780000026002924861455,635.00,НАРОДНИЙ РУХ УКРАЇНИ,Бориспільська міська організація Народного Руху України,24216035,Київська обл.,2021-12-31,4,2021
ПАТ АБ УКРГАЗБАНК,картковий рахунок,UA663204780000026004924892790,64.95,НАРОДНИЙ РУХ УКРАЇНИ,Бориспільська міська організація Народного Руху України,24216035,Київська обл.,2021-12-31,4,2021
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA513206490000026001052689341,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Київська обласна (крайова) організація Народного Руху України,23492833,м.Київ,2021-12-31,4,2021
АТ КБ ПРИВАТБАНК,Поточний рахунок,UA983052990000026004005017569,19.15,НАРОДНИЙ РУХ УКРАЇНИ,Київська обласна (крайова) організація Народного Руху України,23492833,м.Київ,2021-12-31,4,2021
"АБ""Укргазбанк""",Поточний рахунок,UA243204780000026043903293036,0.00,НАРОДНИЙ РУХ УКРАЇНИ,Центральний офіс,00013209,Україна,2021-12-31,4,2021
