Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об'єкт,Дата,Квартал,Рік
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA203206490000026000052634643,"762,79",Сила людей,Центральний офіс,39378656,Україна,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA773206490000026009052626812,"6955,51",Сила людей,Центральний офіс,39378656,Україна,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA273206490000026000052636845,"3588,93",Сила людей,Центральний офіс,39378656,Україна,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA123206490000026006052628084,"2091,32",Сила людей,Центральний офіс,39378656,Україна,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA683206490000026002052638755,"3119,67",Сила людей,Центральний офіс,39378656,Україна,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA973206490000026009052644106,"140,21",Сила людей,Центральний офіс,39378656,Україна,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA553206490000026000052688042,"7,71",Сила людей,Центральний офіс,39378656,Україна,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA883206490000026002052633448,"285,96",Сила людей,Центральний офіс,39378656,Україна,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA043206490000026004052662343,"100,0",Сила людей,Центральний офіс,39378656,Україна,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA983218420000026004053136428,"314,0",Сила людей,Білоцерківська міська організація,39963846,Київська область,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA203218420000026005053145849,"0,0",Сила людей,Бориспільська міська організація,39993209,Київська область,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA083333910000026004054716233,"2795,75",Сила людей,Вараська міська організація,40220555,Рівненська область,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,26000055022958,"0,0",Сила людей,Глухівська міська організація,40496853,Сумська область,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA873133990000026000055716739,"13612,1",Сила людей,Запорізька міська організація,40031212,Запорізька область,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA133007110000026003052764578,"178,83",Сила людей,Київська міська організація,39989915,Київ,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA523007110000026051052603164,"0,0",Сила людей,Київська міська організація,39989915,Київ,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA253007110000026000052604705,"5558,76",Сила людей,Київська міська організація,39989915,Київ,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA973007110000026049052706794,"0,0",Сила людей,Київська міська організація,39989915,Київ,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA263057500000026008053509413,"4043,12",Сила людей,Криворізька міська організація,40009611,Дніпропетровська область,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,26005052614165,"0,0",Сила людей,Печерська районна в місті Києві організація,40578087,Київ,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA923387830000026005055131982,"5654,2",Сила людей,Тернопільська міська організація,40053063,Тернопільська область,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA173375460000026005055017106,"17380,47",Сила людей,Тростянецька районна організація,39713177,Сумська область,2020-06-30,2,2020
невідомо,поточний рахунок,UA723282090000026000020007859,"0,0",Сила людей,Чернівецька обласна організація,40000954,Чернівецька область,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA293387830000026001055129857,"8766,0",Сила людей,Чортківська міська організація,39921438,Тернопільська область,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA423387830000026000055128008,"104,0",Сила людей,Чортківська районна організація,39921464,Тернопільська область,2020-06-30,2,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA203206490000026000052634643,"7362,79",Сила людей,Центральний офіс,39378656,Україна,2020-09-30,3,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA773206490000026009052626812,"29495,51",Сила людей,Центральний офіс,39378656,Україна,2020-09-30,3,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA273206490000026000052636845,"23105,2",Сила людей,Центральний офіс,39378656,Україна,2020-09-30,3,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA123206490000026006052628084,"52536,03",Сила людей,Центральний офіс,39378656,Україна,2020-09-30,3,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA683206490000026002052638755,"646,11",Сила людей,Центральний офіс,39378656,Україна,2020-09-30,3,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA973206490000026009052644106,"7692,21",Сила людей,Центральний офіс,39378656,Україна,2020-09-30,3,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA553206490000026000052688042,"7,71",Сила людей,Центральний офіс,39378656,Україна,2020-09-30,3,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA883206490000026002052633448,"385,96",Сила людей,Центральний офіс,39378656,Україна,2020-09-30,3,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA043206490000026004052662343,"100,0",Сила людей,Центральний офіс,39378656,Україна,2020-09-30,3,2020
"ПАТ КБ ""ПриватБанк""",поточний рахунок,UA033366770000026000052549004,"214,0",Сила людей,Центральний офіс,39378656,Україна,2020-09-30,3,2020
